x,y
17.0,62.0
24.5,77.0
55.0,59.0
47.0,57.5
19.0,65.0
53.0,56.666666666666664
46.5,57.5
55.0,56.75
23.0,77.0
53.5,57.0
33.0,70.0
51.0,56.333333333333336
54.0,57.0
41.0,61.5
36.0,69.0
53.333333333333336,63.666666666666664
50.0,54.5
52.5,61.0
14.0,69.0
46.666666666666664,56.666666666666664
52.0,67.0
54.0,57.0
55.0,68.0
53.5,58.5
49.25,55.0
49.0,66.0
55.5,58.5
49.0,56.5
53.5,64.5
50.333333333333336,55.333333333333336
56.0,61.0
50.666666666666664,55.666666666666664
54.0,57.666666666666664
45.0,57.0
56.0,59.0
47.5,58.5
52.0,66.5
50.0,54.0
55.0,58.0
42.0,60.0
53.333333333333336,61.333333333333336
43.0,59.0
47.5,53.5
51.0,59.5
93.0,59.0
50.666666666666664,68.33333333333333
53.0,60.0
49.5,68.5
93.0,59.0
48.666666666666664,57.666666666666664
51.0,69.5
50.5,55.5
55.0,56.5
31.0,72.0
49.0,56.0
42.0,61.0
50.5,69.5
47.0,56.0
54.0,55.0
48.0,56.0
44.0,70.0
52.0,62.0
49.0,70.0
51.75,62.5
5.0,123.0
48.5,69.0
49.0,55.5
56.0,56.0
52.0,56.0
53.0,62.0
41.5,64.5
45.5,56.5
48.0,109.0
34.0,68.5
54.5,57.0
43.0,71.0
47.0,55.5
52.5,57.75
22.0,78.0
54.5,58.5
35.0,68.0
48.5,69.5
45.0,56.0
50.8,55.6
42.0,60.0
53.333333333333336,57.166666666666664
48.5,56.0
53.666666666666664,58.333333333333336
46.5,69.5
45.5,57.25
49.0,57.333333333333336
30.0,73.0
48.0,54.5
9.0,71.0
48.0,54.0
50.0,67.0
44.5,56.5
52.0,57.0
50.5,68.0
52.0,57.4
53.5,67.0
51.5,57.25
45.0,56.0
49.666666666666664,57.666666666666664
53.0,68.0
50.5,57.0
40.0,62.0
53.0,56.666666666666664
35.0,67.0
51.0,65.5
54.5,60.0
46.0,54.0
55.0,60.5
44.0,57.0
51.666666666666664,56.0
54.0,62.0
