x,y
72.0,109.5
55.0,110.0
71.0,109.0
70.0,100.0
57.333333333333336,109.33333333333333
71.0,109.5
81.5,108.5
72.0,108.5
56.0,110.0
72.0,109.0
81.0,109.0
59.5,110.0
74.0,110.0
57.0,109.8
72.0,109.0
56.75,108.5
77.5,109.0
53.0,107.0
72.5,108.0
59.0,108.0
73.0,107.66666666666667
59.0,110.0
54.0,108.0
60.75,111.0
67.0,118.0
70.0,109.0
75.0,99.0
55.5,109.0
64.0,111.0
73.5,108.0
59.5,109.5
69.0,119.0
71.5,107.0
53.5,107.5
70.0,107.0
54.0,107.66666666666667
69.5,102.0
83.0,106.0
57.0,109.0
72.0,108.5
104.0,23.0
52.5,108.0
60.5,110.0
95.0,106.0
60.5,109.75
62.0,120.0
57.0,107.33333333333333
49.0,106.0
67.5,110.5
63.0,111.0
56.0,107.66666666666667
81.0,108.0
74.0,108.0
53.0,107.0
67.0,112.0
60.0,107.5
72.0,106.0
60.5,110.0
71.0,98.5
55.5,107.0
70.0,108.5
55.0,108.5
74.0,96.0
54.0,107.33333333333333
73.0,106.5
74.0,99.0
52.5,105.5
42.0,107.0
54.5,108.0
43.0,75.0
67.33333333333333,108.66666666666667
54.5,106.5
74.0,108.0
57.5,108.0
68.0,108.0
55.8,107.0
67.0,99.0
72.5,108.5
54.0,105.0
68.0,107.0
53.0,105.5
61.0,109.0
81.5,105.0
58.0,108.0
80.0,106.5
52.5,105.5
74.0,107.0
59.666666666666664,109.0
71.0,105.0
54.333333333333336,107.0
61.0,108.5
69.5,99.5
50.5,105.0
15.0,106.0
51.5,104.5
69.33333333333333,101.33333333333333
82.5,106.5
59.0,109.0
70.0,106.0
54.0,105.66666666666667
66.0,109.5
81.0,108.0
53.666666666666664,105.33333333333333
67.5,109.0
82.0,106.5
58.0,106.0
71.5,106.0
55.333333333333336,106.0
69.0,98.0
54.0,106.0
64.33333333333333,107.66666666666667
53.5,105.0
61.0,108.0
71.0,106.66666666666667
54.5,106.0
60.0,109.5
48.0,104.0
81.0,107.5
51.5,103.5
81.0,108.0
70.5,106.5
56.0,105.0
72.0,106.0
62.5,108.0
54.666666666666664,105.33333333333333
67.0,107.0
69.0,102.5
111.0,18.0
53.833333333333336,104.33333333333333
75.0,93.0
59.0,108.0
68.66666666666667,106.33333333333333
73.5,94.5
50.75,104.0
67.0,106.0
51.5,104.0
71.0,104.0
73.0,98.0
54.5,104.0
36.0,98.0
49.5,102.5
71.0,106.5
55.0,104.0
70.5,105.5
9.0,109.0
58.333333333333336,106.0
49.0,103.0
68.0,107.0
15.0,105.0
51.5,105.5
76.0,108.0
61.666666666666664,107.33333333333333
78.0,96.0
50.5,105.5
66.0,106.0
110.0,101.0
56.5,105.0
51.5,105.0
80.66666666666667,107.0
63.0,107.0
73.5,106.0
50.0,106.0
68.5,104.5
54.5,105.0
68.5,106.0
58.0,107.0
17.0,105.0
69.5,105.5
77.33333333333333,106.66666666666667
50.5,104.0
71.5,106.0
58.0,106.5
68.66666666666667,105.0
46.0,101.0
70.5,105.0
55.5,104.5
17.0,106.0
71.0,104.5
63.5,60.0
54.0,105.0
64.5,106.0
47.5,101.5
70.0,103.0
56.5,104.5
48.0,102.5
58.0,106.0
68.5,103.0
83.5,105.5
67.0,99.0
84.0,105.0
48.5,103.0
69.5,104.5
63.0,107.0
54.5,105.0
17.0,106.0
52.5,103.0
17.0,105.0
83.0,105.0
61.0,108.0
71.0,103.0
52.0,102.5
67.0,104.0
53.75,103.25
83.0,106.0
64.5,105.0
54.5,103.5
70.5,97.0
67.0,104.5
57.5,106.0
71.0,102.0
53.5,104.5
17.0,105.0
74.0,96.0
60.5,106.0
52.5,103.0
72.0,107.0
17.0,104.0
48.0,101.0
71.0,96.0
69.0,104.5
16.0,104.5
4.0,106.0
66.5,105.5
57.333333333333336,105.33333333333333
49.0,103.0
73.5,106.5
56.0,102.0
68.5,105.0
55.5,103.0
70.66666666666667,104.66666666666667
17.0,105.0
48.5,99.5
63.0,106.0
56.0,103.33333333333333
61.0,103.0
51.333333333333336,102.66666666666667
60.0,102.0
68.66666666666667,104.0
49.0,100.0
64.0,107.0
52.0,101.5
60.0,102.0
48.5,101.0
82.0,106.0
50.5,101.5
85.0,88.0
59.0,103.0
70.33333333333333,102.66666666666667
58.5,106.0
67.0,103.0
52.0,101.0
56.5,103.5
72.0,103.0
68.0,103.0
56.0,104.0
47.5,98.0
52.0,126.0
51.5,100.5
18.5,104.5
66.0,98.0
57.0,105.0
48.0,102.0
54.5,102.0
63.5,105.5
47.0,98.0
63.0,109.0
53.5,104.0
19.0,104.0
52.5,101.5
73.0,104.0
51.5,100.33333333333333
69.5,101.5
50.0,98.5
80.0,107.0
55.0,102.5
72.0,104.0
57.0,102.66666666666667
67.0,107.5
80.5,94.0
52.0,100.0
69.66666666666667,103.66666666666667
83.0,105.0
54.75,102.5
69.25,102.5
52.666666666666664,100.33333333333333
66.0,103.0
51.142857142857146,99.85714285714286
75.0,89.0
66.0,104.5
