x,y
22.4,57.0
25.0,64.0
24.0,53.75
27.0,75.0
22.8,54.4
22.0,58.5
29.333333333333332,54.666666666666664
24.2,54.0
31.5,55.5
26.0,54.5
34.0,63.0
29.25,53.25
24.5,62.0
23.0,52.5
31.0,57.0
23.0,53.5
25.5,53.5
50.0,101.0
28.5,54.0
25.5,64.5
26.666666666666668,54.0
37.0,85.0
27.75,55.5
22.333333333333332,59.0
25.666666666666668,56.666666666666664
23.5,53.0
33.0,55.0
23.4,56.0
33.0,56.0
25.5,55.785714285714285
82.0,98.0
23.0,58.0
25.666666666666668,53.666666666666664
34.0,60.0
25.666666666666668,56.666666666666664
29.666666666666668,54.666666666666664
26.4,55.6
44.0,54.0
32.5,60.0
22.333333333333332,54.333333333333336
35.0,91.0
26.5,54.5
22.0,55.5
30.0,80.0
24.0,55.666666666666664
44.0,54.0
24.5,58.5
23.333333333333332,56.333333333333336
26.0,57.0
22.666666666666668,57.666666666666664
33.0,74.0
24.5,55.833333333333336
29.5,57.0
22.5,56.5
33.0,66.0
24.333333333333332,57.333333333333336
31.0,56.0
24.0,56.0
29.0,56.333333333333336
22.666666666666668,56.0
25.5,56.0
33.0,65.0
20.5,55.5
25.0,61.0
29.0,56.0
22.0,54.0
24.2,61.0
23.0,54.666666666666664
33.0,58.0
21.5,60.0
20.5,54.0
31.333333333333332,57.0
19.0,58.0
25.5,57.5
40.0,86.0
21.5,56.75
22.6,55.6
33.0,78.0
24.8,55.4
22.4,60.0
31.0,58.0
21.666666666666668,55.666666666666664
29.0,57.0
22.5,54.75
31.0,68.0
31.5,58.25
23.0,57.5
32.0,57.0
22.833333333333332,56.166666666666664
35.0,91.0
24.0,55.833333333333336
32.5,57.5
21.0,59.0
31.5,56.0
35.0,91.0
23.666666666666668,54.666666666666664
27.0,55.5
35.0,91.0
21.5,56.5
28.0,56.0
25.5,66.0
30.0,55.0
21.666666666666668,58.333333333333336
27.0,56.0
23.0,58.0
30.0,57.0
24.0,56.333333333333336
33.0,58.0
24.75,55.25
30.0,57.0
22.333333333333332,57.0
28.666666666666668,55.0
21.0,58.0
30.5,56.0
22.571428571428573,58.0
26.0,67.0
31.0,57.0
21.5,59.5
33.0,59.0
22.0,55.5
27.333333333333332,63.0
22.0,54.666666666666664
33.25,66.0
23.0,61.0
21.0,56.5
22.0,60.0
24.0,53.0
34.5,57.5
50.0,105.0
25.0,54.5
19.5,56.5
32.0,55.0
22.75,54.75
24.333333333333332,60.5
20.5,54.5
33.0,67.0
32.5,58.0
22.0,55.0
34.0,65.0
20.5,54.5
34.0,78.0
21.0,54.0
22.0,61.0
20.0,55.5
35.0,75.0
22.5,57.25
33.0,61.0
24.333333333333332,55.333333333333336
32.5,58.0
23.5,55.5
33.0,62.0
23.5,59.5
25.0,69.0
33.0,59.5
26.0,54.0
21.5,58.0
22.5,56.333333333333336
33.0,70.0
21.666666666666668,56.0
39.0,86.0
20.5,56.0
23.666666666666668,56.5
33.0,60.0
24.5,56.5
22.0,55.0
26.333333333333332,54.666666666666664
22.5,56.5
28.0,56.0
20.4,57.2
22.0,61.5
20.5,57.5
26.0,57.0
24.5,65.5
23.0,56.0
21.75,58.75
22.5,55.5
21.0,59.5
31.0,84.0
27.0,56.0
22.75,55.0
23.0,63.0
22.0,54.6
33.0,60.5
22.666666666666668,56.0
33.0,60.0
21.75,55.0
33.0,59.0
20.0,57.0
27.0,55.0
22.0,57.5
32.5,58.5
24.0,60.0
19.5,54.0
33.0,62.0
20.0,55.5
25.0,71.0
23.625,56.25
29.0,57.5
21.0,61.0
19.666666666666668,55.0
28.0,57.0
24.5,57.0
31.0,58.0
19.666666666666668,56.666666666666664
48.0,76.0
25.0,58.0
34.0,75.0
22.333333333333332,55.666666666666664
33.5,74.0
21.0,57.25
33.0,60.0
21.2,56.4
32.0,58.5
23.5,57.0
32.0,58.0
20.625,56.0
28.0,57.0
21.333333333333332,57.333333333333336
28.0,57.0
21.0,56.38095238095238
33.0,63.0
22.75,58.5
33.0,70.0
15.0,122.0
85.0,101.0
19.5,56.5
26.0,59.0
69.0,116.0
31.0,55.0
21.5,57.5
30.0,57.0
20.75,55.75
33.0,60.0
22.285714285714285,56.57142857142857
19.0,59.0
31.0,57.5
21.4,56.2
26.5,57.0
20.5,57.666666666666664
31.0,59.5
20.5,58.0
30.5,55.5
23.5,56.5
30.0,56.0
22.5,55.875
32.0,56.0
22.5,55.25
33.0,61.0
22.0,55.666666666666664
24.0,54.0
30.0,56.0
19.0,56.0
36.0,110.0
22.0,56.0
30.0,57.0
21.5,56.0
32.5,55.0
21.5,57.5
30.0,55.0
20.0,56.0
29.0,57.0
20.5,57.0
33.0,64.0
20.0,54.5
25.0,54.0
30.5,55.5
43.0,64.0
20.0,58.666666666666664
28.2,55.6
20.0,57.5
27.0,57.0
19.0,56.5
43.0,65.0
20.75,56.75
29.0,58.0
21.0,55.5
28.0,55.0
20.0,56.5
30.0,56.0
21.5,54.5
31.0,56.5
20.4,55.8
32.0,59.333333333333336
23.0,55.0
29.5,56.0
21.666666666666668,56.333333333333336
32.0,55.0
23.0,54.0
21.333333333333332,58.333333333333336
31.0,58.0
22.5,55.5
32.333333333333336,59.0
26.0,75.0
23.5,54.0
75.0,113.0
23.571428571428573,57.142857142857146
32.0,55.0
26.0,55.666666666666664
33.0,57.0
21.666666666666668,57.44444444444444
33.0,66.0
21.0,57.5
28.0,58.5
22.0,58.0
31.333333333333332,57.333333333333336
21.0,58.0
33.0,59.0
24.333333333333332,57.666666666666664
27.0,56.5
21.5,60.0
23.0,54.5
19.0,59.0
25.5,56.5
27.0,75.0
24.666666666666668,55.333333333333336
33.0,58.5
20.25,57.75
28.333333333333332,56.666666666666664
27.0,75.0
24.0,54.5
31.0,55.0
20.5,59.0
30.0,56.0
21.0,57.4
33.0,58.0
24.5,57.0
30.5,56.5
25.428571428571427,56.57142857142857
22.0,54.0
27.5,54.75
24.166666666666668,55.166666666666664
34.0,68.0
27.875,55.875
21.0,61.0
22.75,55.75
29.5,57.5
19.0,57.5
25.0,55.0
22.0,59.0
24.0,54.0
31.5,57.0
21.666666666666668,58.0
30.5,55.0
22.5,56.5
26.5,56.0
22.0,54.5
28.5,56.0
26.0,69.0
32.0,58.0
21.0,54.5
23.0,58.8
29.5,56.5
23.5,54.5
33.0,66.0
21.0,56.5
29.0,75.0
24.0,55.333333333333336
22.0,62.0
23.5,54.75
33.0,67.0
31.0,57.333333333333336
24.0,55.5
34.0,60.0
23.0,55.666666666666664
34.0,62.0
22.0,57.0
30.5,57.0
22.333333333333332,55.666666666666664
25.0,65.0
23.25,55.0
24.0,63.0
23.4,55.4
34.0,61.0
22.4,56.6
31.0,58.0
21.5,60.0
21.0,55.0
26.5,55.0
25.0,70.0
32.5,57.5
20.5,59.0
25.5,57.5
27.0,70.0
24.0,55.0
25.0,70.0
24.6,56.6
34.0,61.0
23.333333333333332,56.0
23.0,60.5
32.0,57.666666666666664
23.5,55.0
32.0,77.0
32.5,57.5
21.0,60.0
26.0,55.0
39.0,55.0
22.75,56.75
31.0,84.0
32.5,57.5
25.0,53.0
20.5,57.0
31.5,58.0
26.0,56.0
21.5,57.0
30.0,84.0
28.5,54.0
21.0,57.5
26.0,59.0
32.666666666666664,62.666666666666664
24.0,58.0
34.0,63.0
26.5,55.0
32.5,78.5
20.5,57.0
31.5,58.5
25.666666666666668,54.666666666666664
24.0,64.0
24.5,54.75
27.75,54.75
33.5,59.5
22.0,56.5
34.0,60.0
23.666666666666668,53.666666666666664
33.0,55.0
21.5,55.5
28.5,55.5
34.0,62.0
24.5,53.5
30.5,58.5
23.0,61.0
24.5,56.0
31.0,58.0
21.666666666666668,58.0
29.0,55.666666666666664
32.0,61.0
20.0,57.5
23.5,53.5
38.0,85.0
24.0,56.5
30.5,56.0
22.666666666666668,55.333333333333336
28.5,55.5
22.333333333333332,57.0
23.5,61.0
33.0,56.0
21.0,58.5
28.5,56.0
103.0,85.0
24.5,60.5
31.0,56.0
24.0,55.666666666666664
33.0,55.0
24.25,59.0
30.0,57.5
34.0,58.0
