x,y
34.0,96.0
28.666666666666668,92.66666666666667
30.0,71.0
0.5,73.0
44.0,95.0
25.0,67.0
36.0,84.0
63.0,63.0
30.0,97.0
26.0,65.0
63.0,63.0
24.5,74.5
32.5,79.0
25.666666666666668,77.33333333333333
22.0,64.5
27.333333333333332,66.0
7.0,82.0
34.5,82.0
26.0,76.5
33.0,99.0
44.0,98.0
19.0,64.0
44.0,98.5
72.0,118.0
25.0,74.0
25.333333333333332,81.0
27.5,67.5
24.5,76.5
29.0,94.0
35.5,82.5
26.0,66.0
36.5,101.0
26.5,66.0
25.0,76.0
32.0,76.5
17.0,71.0
19.0,67.5
17.5,71.0
27.0,67.0
19.666666666666668,64.33333333333333
32.0,75.5
63.0,63.0
17.5,71.0
29.333333333333332,69.33333333333333
17.5,70.5
27.5,70.0
22.5,64.0
27.0,66.66666666666667
18.0,71.0
26.0,79.5
27.666666666666668,65.33333333333333
29.0,91.0
27.0,65.0
26.0,91.0
17.333333333333332,65.66666666666667
26.0,76.0
19.5,67.0
35.0,82.0
17.0,67.0
39.0,78.0
20.5,67.0
27.0,76.0
23.5,67.0
41.0,101.0
17.0,70.0
26.0,89.0
38.0,88.5
25.0,67.0
16.0,89.0
20.0,63.5
76.0,116.0
24.5,75.5
27.0,66.0
26.666666666666668,87.0
28.5,69.5
34.0,80.0
42.0,100.5
23.5,65.5
23.5,88.5
20.5,64.5
21.0,69.5
28.0,63.0
20.666666666666668,70.33333333333333
27.0,80.0
25.6,70.4
22.0,63.666666666666664
83.5,107.0
34.5,81.5
31.0,70.0
30.5,73.5
23.5,69.5
75.0,123.0
24.0,82.75
18.0,65.0
21.5,85.0
32.0,73.0
26.0,80.5
53.0,111.0
25.0,74.5
28.5,64.0
33.5,78.5
27.5,80.0
22.0,72.0
26.0,65.0
33.0,76.0
28.5,66.5
27.5,80.0
3.0,79.0
26.0,76.66666666666667
33.0,76.0
25.0,74.0
30.0,93.0
28.5,63.5
3.0,79.0
6.5,86.5
24.5,65.5
27.0,76.0
20.0,61.5
3.0,78.0
21.0,63.0
35.0,83.0
29.333333333333332,65.33333333333333
20.5,67.0
30.0,65.5
8.0,86.5
53.0,54.0
30.0,66.5
70.0,127.0
32.0,70.5
62.0,85.0
19.0,65.5
28.2,67.0
37.5,102.0
27.25,63.25
51.0,112.0
20.666666666666668,66.0
26.0,69.0
80.0,121.0
28.5,65.0
17.0,63.0
30.5,68.5
28.0,81.0
30.5,65.0
17.0,63.0
30.0,67.0
17.0,69.0
25.333333333333332,67.33333333333333
29.0,80.5
21.0,70.0
34.5,80.0
18.5,63.5
29.0,64.0
19.5,65.5
33.0,70.0
28.0,80.5
81.0,113.0
27.5,65.5
8.0,93.0
23.0,71.5
23.0,63.5
34.0,77.0
43.0,98.0
21.0,67.0
73.0,126.0
20.0,66.5
33.0,73.0
22.0,64.0
30.5,67.0
26.0,74.0
31.0,68.5
36.0,81.0
21.333333333333332,64.66666666666667
27.0,64.5
20.0,64.0
31.0,65.0
22.0,63.0
64.0,39.0
24.5,64.0
28.0,94.0
24.0,65.0
29.0,65.5
25.0,73.0
20.0,63.5
25.0,73.0
27.5,62.5
29.0,90.0
29.0,64.66666666666667
72.0,119.0
22.333333333333332,63.666666666666664
29.0,90.0
27.0,63.0
43.5,95.0
27.0,78.0
30.5,61.5
3.0,78.0
26.5,78.5
39.5,101.0
31.0,64.0
34.5,76.5
41.0,100.0
18.5,65.0
37.0,102.0
24.5,65.5
47.5,115.0
20.666666666666668,62.333333333333336
34.5,78.5
28.0,79.0
23.666666666666668,63.333333333333336
27.5,79.0
25.333333333333332,63.333333333333336
47.0,115.0
22.0,64.0
47.5,115.0
23.666666666666668,61.666666666666664
33.0,72.0
25.0,72.0
37.0,83.0
19.5,62.5
20.0,123.0
33.0,67.0
21.0,67.0
30.5,64.5
23.5,61.5
20.0,63.5
30.5,73.0
21.666666666666668,61.666666666666664
21.0,123.0
22.0,62.0
38.0,86.0
23.0,61.5
30.0,79.5
29.0,91.0
22.5,63.5
32.5,68.0
38.0,86.0
26.0,62.666666666666664
30.0,68.5
43.5,97.5
32.5,69.5
29.0,81.0
42.0,98.5
30.5,69.5
23.5,64.5
32.0,69.0
25.5,63.5
33.0,67.66666666666667
20.0,65.0
25.5,61.0
34.0,101.0
21.666666666666668,62.0
22.0,100.0
35.0,77.0
22.666666666666668,61.666666666666664
40.0,101.0
27.0,61.0
44.0,96.0
21.0,62.0
30.5,64.5
24.5,62.5
41.0,100.0
20.5,65.5
34.0,70.5
35.0,78.0
23.5,65.5
41.0,101.0
23.0,64.33333333333333
31.0,62.5
27.0,73.0
20.333333333333332,64.33333333333333
26.0,73.0
31.0,64.5
21.5,65.0
31.333333333333332,63.0
22.0,61.0
35.0,78.66666666666667
39.0,101.5
19.0,65.0
27.0,73.5
28.0,92.0
29.333333333333332,63.0
27.0,73.5
30.5,63.5
43.0,99.0
25.5,71.5
38.0,85.0
42.5,100.0
30.0,82.5
35.5,78.5
30.0,61.0
35.0,79.0
33.5,65.0
23.0,66.5
26.0,72.0
37.0,82.0
20.5,66.5
25.0,62.5
17.0,103.0
34.5,69.0
22.0,62.5
35.0,69.0
31.5,63.0
35.0,71.0
23.5,65.0
35.0,70.0
26.666666666666668,73.66666666666667
22.5,66.0
32.0,64.0
22.0,62.666666666666664
34.5,71.5
22.75,63.25
76.0,115.0
26.0,61.0
34.0,64.0
31.0,68.0
21.5,63.0
35.0,70.0
33.5,64.5
25.0,63.5
2.0,70.0
25.0,70.0
34.0,71.5
33.0,65.5
26.0,62.0
32.5,68.0
31.0,62.0
25.0,60.0
35.0,78.0
22.5,60.5
33.5,61.0
43.0,100.0
34.5,65.0
35.0,77.0
29.5,62.0
35.0,72.0
26.0,59.0
22.0,60.0
12.5,84.5
44.5,102.0
23.0,62.333333333333336
11.0,85.0
24.0,62.333333333333336
44.0,96.0
35.0,74.5
24.0,87.0
31.5,67.0
77.0,125.0
21.5,67.0
21.5,85.0
33.0,62.0
22.0,60.0
36.5,80.5
77.0,124.0
26.5,61.0
33.5,63.0
23.0,67.5
25.0,60.5
77.0,125.0
25.5,60.0
77.0,124.0
23.75,61.75
29.5,80.5
32.0,62.0
22.5,63.5
25.5,60.5
22.666666666666668,65.0
29.0,76.0
25.0,61.5
34.0,61.5
35.5,71.5
36.0,67.0
26.0,70.5
23.5,61.0
35.0,76.5
24.333333333333332,67.66666666666667
34.0,62.333333333333336
23.0,63.0
36.0,79.0
28.0,61.25
25.0,88.0
35.5,71.5
26.0,79.0
32.0,62.0
26.5,79.0
22.5,66.5
26.0,89.0
35.0,66.5
38.0,101.0
24.5,61.5
36.0,69.0
33.0,61.666666666666664
26.0,87.0
33.5,63.0
26.0,87.5
33.0,61.5
27.0,72.0
29.0,80.5
36.0,77.0
30.0,74.0
25.0,61.0
36.0,74.0
36.0,66.0
27.5,61.0
24.0,61.5
28.5,72.5
23.333333333333332,63.333333333333336
33.0,61.0
36.0,72.5
24.0,67.0
34.333333333333336,62.666666666666664
38.0,84.0
25.5,61.5
84.0,120.0
30.0,59.5
35.5,62.5
22.0,61.0
34.0,62.5
28.333333333333332,71.66666666666667
35.0,62.0
23.666666666666668,63.666666666666664
36.0,79.0
29.5,61.5
85.0,120.0
23.5,64.0
30.0,60.0
34.25,63.5
44.0,92.0
28.666666666666668,74.0
30.333333333333332,61.333333333333336
26.0,69.0
33.0,64.0
26.0,67.66666666666667
36.0,78.0
26.0,59.333333333333336
33.0,61.0
25.5,67.5
24.0,60.0
32.5,60.5
24.666666666666668,64.0
36.5,68.5
29.0,72.0
35.5,66.0
23.0,59.0
34.0,65.66666666666667
29.0,85.0
23.0,61.0
31.0,60.0
29.333333333333332,75.66666666666667
26.0,61.5
30.0,58.0
34.666666666666664,62.0
25.5,61.0
36.0,75.0
34.666666666666664,65.33333333333333
30.0,75.0
23.5,61.5
31.5,71.5
24.0,60.0
24.5,64.5
25.0,59.0
36.0,68.66666666666667
29.5,75.0
27.0,59.0
35.0,63.333333333333336
42.0,98.0
34.666666666666664,61.333333333333336
27.0,63.0
34.75,60.75
14.0,104.0
32.5,63.0
42.0,98.0
37.0,69.5
28.5,63.0
37.0,79.0
26.5,65.5
28.5,59.0
37.5,69.0
28.0,60.5
21.0,123.0
28.0,59.5
37.0,68.0
30.0,72.5
30.333333333333332,61.333333333333336
25.5,63.0
32.5,61.5
27.0,69.0
30.25,64.0
37.0,76.0
29.5,69.5
30.333333333333332,60.333333333333336
30.0,76.0
27.0,63.5
34.5,61.5
24.75,62.5
29.0,76.0
31.5,60.5
11.0,114.0
26.5,62.0
29.0,71.0
33.666666666666664,62.0
42.0,97.0
37.5,70.5
26.666666666666668,63.0
35.0,60.0
28.5,73.5
37.0,65.0
27.0,60.666666666666664
35.0,65.0
27.0,61.5
34.5,63.0
30.0,80.0
43.5,95.0
34.5,76.5
11.0,114.0
36.0,63.0
27.0,67.0
38.0,68.0
30.0,61.0
37.0,64.0
28.0,63.0
33.333333333333336,63.0
25.0,67.0
35.5,64.5
27.0,63.0
35.0,62.5
25.5,67.0
38.0,65.0
26.0,61.0
35.0,63.5
29.0,57.0
26.5,62.5
80.0,83.0
26.5,59.5
37.666666666666664,62.666666666666664
37.5,80.5
28.5,60.5
20.0,90.0
32.333333333333336,60.333333333333336
35.333333333333336,76.0
26.5,61.5
36.666666666666664,69.0
28.75,59.5
37.0,64.0
29.0,57.666666666666664
37.0,79.5
35.0,63.0
27.5,59.0
37.0,80.0
31.0,60.5
38.0,80.5
30.0,87.0
36.5,62.0
27.0,69.0
26.666666666666668,60.0
33.0,59.0
31.0,79.0
35.75,62.5
30.5,68.0
38.333333333333336,65.33333333333333
28.0,67.66666666666667
34.5,62.0
27.0,63.5
31.0,59.0
35.0,63.5
26.0,63.5
28.0,89.0
28.25,61.25
36.5,62.5
28.5,62.0
37.0,62.0
27.5,62.0
37.0,63.0
28.5,58.5
38.5,62.0
30.0,73.0
27.333333333333332,61.333333333333336
30.0,84.0
32.0,58.0
83.0,96.0
37.0,65.0
37.0,77.0
36.5,64.0
37.0,76.0
38.0,66.25
33.0,99.0
34.5,65.0
38.0,75.0
28.333333333333332,61.666666666666664
37.5,63.5
34.0,58.5
30.0,79.0
39.0,66.66666666666667
29.0,58.0
35.666666666666664,63.333333333333336
29.0,68.0
39.0,67.5
31.0,75.0
27.333333333333332,60.666666666666664
32.0,58.0
38.0,63.5
33.0,62.333333333333336
31.0,80.0
30.5,63.0
43.0,94.0
36.5,65.5
30.0,60.0
28.0,66.5
31.0,75.0
29.0,61.0
34.5,60.0
39.0,69.0
35.0,63.5
29.0,56.0
29.5,77.5
35.0,62.0
36.5,60.5
29.0,78.0
33.5,62.0
38.0,75.5
31.0,58.0
38.0,69.0
29.333333333333332,59.666666666666664
36.0,65.2
27.0,64.0
37.5,67.0
26.5,63.5
29.0,68.0
36.5,59.0
39.0,69.5
31.0,60.0
35.5,66.5
