x,y
40.0,124.0
46.333333333333336,123.0
39.5,122.0
37.0,103.0
42.0,123.71428571428571
38.0,117.0
43.5,125.0
65.0,89.0
40.0,124.5
47.0,124.0
39.5,124.0
45.666666666666664,123.33333333333333
37.333333333333336,103.33333333333333
44.5,125.5
45.0,102.0
44.0,122.0
45.285714285714285,125.0
44.0,103.0
46.0,123.5
40.2,121.0
37.0,101.0
46.0,126.5
38.666666666666664,121.0
37.0,105.0
45.5,122.0
46.0,126.0
39.5,126.0
44.0,118.0
44.666666666666664,126.33333333333333
40.375,122.5
73.0,56.0
44.0,123.66666666666667
51.0,106.0
45.0,123.0
38.0,93.0
43.333333333333336,121.33333333333333
37.666666666666664,120.66666666666667
37.0,98.0
38.0,121.5
47.0,127.0
45.333333333333336,120.66666666666667
62.0,56.0
44.5,126.5
37.0,117.5
70.0,49.0
45.0,124.0
38.0,115.0
39.0,125.0
37.666666666666664,113.66666666666667
36.0,101.0
37.0,117.0
38.0,122.5
37.0,110.0
42.0,121.0
36.0,102.0
45.0,119.5
41.5,122.5
36.0,100.0
41.5,124.0
37.5,113.0
39.0,126.0
43.333333333333336,123.66666666666667
42.333333333333336,123.33333333333333
44.0,120.33333333333333
38.0,125.0
44.0,122.5
37.0,117.0
44.5,118.5
38.9,118.4
36.5,110.5
45.0,115.0
40.666666666666664,126.0
22.5,104.0
37.0,120.0
44.5,117.0
43.5,124.5
36.0,111.0
44.5,117.0
44.0,124.0
37.5,123.5
22.5,104.0
36.0,100.5
36.5,118.5
44.5,115.5
23.0,104.0
38.5,102.0
43.0,119.0
35.5,103.5
40.5,123.5
40.0,88.0
41.0,124.66666666666667
21.0,101.0
41.75,122.75
39.5,122.5
38.5,106.0
42.666666666666664,126.66666666666667
37.0,118.0
43.5,126.5
38.5,113.5
44.333333333333336,125.66666666666667
37.0,125.0
44.0,116.0
36.333333333333336,114.33333333333333
37.0,124.0
43.0,123.33333333333333
37.0,124.5
41.333333333333336,124.33333333333333
37.0,124.0
43.0,120.25
37.5,124.5
43.0,126.0
43.5,117.5
35.0,104.0
39.0,126.0
43.0,119.5
36.0,111.5
42.666666666666664,123.33333333333333
35.666666666666664,101.66666666666667
36.0,114.0
37.0,123.5
44.0,115.0
43.5,125.5
41.0,124.0
35.5,104.5
35.666666666666664,118.0
35.0,102.0
43.5,118.5
36.0,126.0
40.0,123.0
36.0,95.0
37.0,110.5
41.0,124.0
36.0,121.5
43.0,112.0
38.0,125.0
43.5,116.5
42.5,124.5
45.0,114.0
42.666666666666664,120.66666666666667
35.0,119.0
38.333333333333336,124.33333333333333
43.5,120.0
42.0,125.5
35.0,116.0
42.5,119.0
36.0,126.5
43.0,118.5
38.666666666666664,123.0
43.0,119.0
42.25,124.75
44.0,114.0
40.0,123.33333333333333
45.0,114.0
43.5,124.5
38.5,122.5
42.0,125.0
42.5,118.5
26.0,93.0
42.5,119.5
35.0,118.0
43.0,117.5
35.0,109.5
44.0,115.0
35.0,126.0
36.5,113.0
42.5,121.5
35.0,109.0
37.5,124.25
44.0,114.5
37.0,116.5
35.0,126.0
42.0,122.0
35.0,103.0
37.333333333333336,125.66666666666667
35.0,108.0
39.0,124.0
58.0,64.0
41.5,124.5
35.0,121.5
41.5,123.0
37.0,93.0
41.5,123.25
47.0,126.0
42.666666666666664,119.0
36.0,97.0
42.5,117.5
45.0,113.5
40.0,126.0
44.333333333333336,115.66666666666667
35.333333333333336,126.0
35.0,109.66666666666667
35.0,121.66666666666667
39.333333333333336,124.33333333333333
36.5,116.5
40.0,125.5
41.0,83.0
35.0,120.5
20.0,104.0
35.5,122.0
42.0,102.0
38.5,119.5
34.5,125.5
45.0,109.0
40.5,120.5
45.0,94.0
37.25,116.0
34.0,125.0
34.5,108.5
34.0,100.0
37.75,125.0
58.0,54.0
37.5,123.5
19.0,104.0
34.5,124.0
34.5,114.5
36.0,97.0
34.5,105.5
34.0,117.0
39.0,123.28571428571429
34.0,115.0
41.25,118.25
39.5,123.5
42.5,116.5
35.0,119.5
42.0,117.0
34.5,124.5
38.0,90.0
40.0,123.0
41.0,117.0
34.0,118.0
34.0,106.5
41.75,114.75
41.0,121.0
35.0,124.0
43.0,114.0
34.0,101.0
40.0,124.0
36.0,121.0
41.0,120.5
33.5,125.0
43.0,114.0
34.0,117.0
42.0,116.5
35.0,125.0
43.5,113.5
34.8,123.0
42.5,114.5
34.0,114.0
42.5,115.0
52.0,116.0
38.0,125.25
42.0,116.5
36.4,122.0
41.0,118.0
36.166666666666664,121.16666666666667
34.0,103.0
44.5,113.5
38.0,124.0
35.0,98.0
41.0,120.0
37.0,122.0
43.5,116.5
39.0,126.0
37.0,92.0
33.0,124.66666666666667
34.75,115.25
35.5,124.0
45.0,107.0
34.333333333333336,125.66666666666667
43.5,113.0
34.333333333333336,119.0
43.0,115.0
39.0,123.66666666666667
45.0,106.0
33.0,123.5
33.5,126.5
17.0,107.0
38.0,122.5
80.0,102.0
34.5,124.0
37.666666666666664,123.33333333333333
67.0,118.0
36.25,123.0
38.0,120.0
17.0,107.0
34.5,107.5
32.5,123.0
18.0,107.0
38.5,122.0
35.0,125.0
37.333333333333336,122.0
33.0,124.0
44.0,114.0
37.25,123.75
32.0,124.0
38.0,122.0
33.0,115.0
39.0,121.5
32.5,125.0
38.8,122.8
33.75,124.0
39.5,120.0
32.5,122.5
37.5,121.0
33.666666666666664,124.33333333333333
49.0,105.0
42.5,118.5
35.75,123.25
