x,y
27.666666666666668,109.66666666666667
21.5,115.5
39.0,112.5
21.5,121.5
80.0,118.0
26.5,111.0
25.0,120.5
30.0,108.5
27.6,120.6
28.5,115.0
27.5,122.0
20.0,116.0
26.5,120.5
52.0,97.0
22.0,113.5
6.0,107.0
29.0,108.0
31.5,116.0
21.0,123.0
33.5,103.0
31.5,116.5
36.0,102.0
26.0,110.5
31.0,117.5
18.0,119.0
32.0,116.5
30.0,107.0
27.0,111.0
26.5,120.5
26.5,114.5
17.0,99.0
26.0,123.0
49.0,113.0
26.0,110.0
36.0,115.0
19.5,120.5
41.0,110.0
23.0,122.5
22.0,112.0
22.0,124.66666666666667
22.5,111.5
34.0,114.0
20.0,117.5
32.0,111.0
21.25,121.0
31.0,116.0
21.0,122.5
31.5,117.0
48.0,112.0
20.0,119.5
29.0,120.0
22.5,112.0
13.0,104.0
25.5,121.5
17.0,100.0
29.0,118.5
31.0,106.0
28.25,120.0
20.0,116.0
31.666666666666668,115.33333333333333
24.0,121.0
36.0,98.0
20.0,114.0
49.0,111.0
32.0,116.0
32.0,105.0
29.333333333333332,114.66666666666667
18.5,120.0
37.0,115.0
20.5,123.0
9.0,106.0
28.0,107.5
26.0,119.5
25.5,109.0
31.5,117.5
42.0,123.0
20.0,118.5
57.0,115.0
21.5,122.0
31.0,115.0
20.0,114.5
32.5,104.5
21.0,121.33333333333333
9.5,105.5
30.0,116.0
20.0,114.0
25.0,118.0
21.5,121.5
33.0,115.0
20.5,113.5
25.5,121.0
20.5,112.0
20.333333333333332,123.33333333333333
28.333333333333332,108.0
24.0,125.0
33.666666666666664,115.66666666666667
29.0,125.0
26.5,120.0
59.0,76.0
22.5,120.5
19.0,100.0
35.0,115.0
18.5,117.0
23.0,110.0
28.5,117.5
21.0,125.0
38.5,111.5
27.0,121.0
20.0,122.5
24.0,110.0
25.5,121.5
24.5,109.0
43.0,122.0
30.0,108.5
22.0,111.33333333333333
39.0,98.0
21.5,116.0
31.5,111.5
27.0,123.0
30.0,115.5
45.5,105.0
23.0,124.0
29.5,110.5
29.0,117.0
17.5,117.5
29.8,118.4
24.5,109.5
20.333333333333332,120.33333333333333
49.5,97.5
27.0,112.0
19.5,121.0
27.0,123.0
18.5,116.0
27.0,108.0
41.0,110.0
22.0,111.66666666666667
47.0,101.0
43.5,108.0
22.0,114.33333333333333
23.0,121.66666666666667
28.0,116.5
39.0,111.0
17.0,118.0
29.0,116.0
21.333333333333332,111.0
29.5,116.0
19.0,119.0
31.5,111.5
19.0,112.0
21.666666666666668,121.66666666666667
24.5,109.0
21.0,121.5
37.0,99.0
36.0,114.0
27.0,110.0
33.0,114.0
24.0,120.5
32.0,115.0
18.0,122.0
27.0,107.66666666666667
31.0,109.0
19.5,122.0
41.5,108.5
48.0,100.5
20.5,113.5
29.0,117.0
28.0,107.0
19.0,114.0
28.0,116.5
19.0,114.5
45.0,106.0
22.5,120.5
34.5,115.0
25.0,119.66666666666667
19.5,119.5
29.0,115.0
19.0,120.5
30.5,106.0
24.0,109.0
25.5,121.0
35.0,115.0
34.5,100.5
18.5,116.5
19.5,121.0
35.666666666666664,114.33333333333333
27.0,123.5
2.0,109.0
24.5,120.75
18.0,119.0
24.5,117.5
21.0,110.33333333333333
20.5,121.0
5.0,107.0
23.0,122.0
20.666666666666668,114.33333333333333
28.0,117.0
28.5,112.5
27.0,117.0
31.5,105.5
18.5,114.5
27.0,123.5
27.5,106.5
42.5,107.5
24.0,109.0
22.5,116.5
34.0,101.0
31.0,114.5
2.0,109.0
30.5,115.5
19.666666666666668,113.0
40.0,111.0
31.5,113.5
22.0,109.0
32.0,102.5
22.0,121.0
31.0,114.5
3.0,110.0
25.666666666666668,108.66666666666667
89.5,119.5
26.0,118.0
25.666666666666668,110.66666666666667
39.333333333333336,110.66666666666667
24.0,120.5
20.0,110.0
25.333333333333332,119.0
24.0,109.0
35.5,98.0
22.0,122.0
33.5,102.0
36.0,113.5
30.5,114.0
18.0,118.0
40.666666666666664,109.33333333333333
21.0,110.0
25.5,121.0
26.0,107.0
25.0,119.5
29.0,116.0
9.0,106.0
19.0,113.0
26.666666666666668,117.33333333333333
27.0,107.0
20.0,119.0
22.0,109.5
21.0,118.5
31.0,105.0
23.0,119.5
81.0,123.0
18.0,113.5
28.5,105.5
31.0,114.0
18.333333333333332,114.0
42.0,83.0
19.5,116.0
26.5,106.5
21.75,121.75
39.0,110.0
26.5,116.5
20.0,110.0
21.666666666666668,122.0
29.0,105.0
21.0,109.5
41.5,108.5
24.0,120.0
21.666666666666668,110.33333333333333
22.0,122.66666666666667
17.0,116.0
33.5,113.5
23.5,120.5
38.0,111.0
21.5,112.0
19.0,118.5
27.0,106.5
31.0,113.5
34.0,101.0
27.0,117.0
17.0,118.0
19.0,112.0
32.5,114.0
24.0,116.0
23.0,108.5
25.0,121.0
34.666666666666664,113.0
25.5,117.0
18.0,98.0
31.0,106.5
17.5,116.0
24.0,116.0
28.5,108.0
21.0,115.66666666666667
20.5,109.0
21.5,119.0
33.0,115.0
27.5,116.0
