x,y
98.33333333333333,105.66666666666667
114.0,111.5
95.0,114.0
113.0,115.0
107.0,114.0
115.0,111.5
97.5,112.0
114.66666666666667,110.33333333333333
99.5,111.0
109.5,115.5
100.0,102.0
102.66666666666667,111.0
102.5,103.5
113.0,108.5
103.5,111.5
117.0,110.0
107.0,107.33333333333333
97.0,106.0
107.0,108.5
114.0,116.0
107.0,111.5
111.66666666666667,112.66666666666667
99.0,110.0
114.0,113.5
106.0,106.0
106.5,111.5
117.0,114.0
101.5,111.5
108.75,114.25
93.0,109.0
104.0,109.0
93.5,107.5
106.0,113.0
97.5,110.5
109.33333333333333,112.0
114.0,111.5
99.0,113.0
113.0,112.0
117.5,113.0
101.5,112.0
106.33333333333333,110.0
114.0,118.0
105.5,112.0
116.5,111.0
108.5,112.0
88.0,109.0
113.0,107.5
103.0,110.0
116.0,110.0
67.0,71.0
112.5,110.5
105.33333333333333,111.0
116.33333333333333,114.0
112.4,115.4
105.0,112.5
112.5,109.0
104.0,108.5
112.0,115.0
115.5,114.5
99.5,100.5
112.5,107.5
104.5,112.5
111.25,111.5
117.0,110.0
104.0,104.0
112.5,106.0
103.0,107.0
112.25,113.5
112.5,107.0
112.5,115.5
111.66666666666667,107.66666666666667
104.33333333333333,110.0
114.0,110.0
105.66666666666667,113.0
115.0,117.0
116.5,109.0
102.0,112.0
107.33333333333333,108.33333333333333
78.0,99.0
106.0,109.5
97.5,111.0
117.0,110.5
99.0,107.0
108.5,112.5
88.0,106.0
112.5,109.75
111.0,110.5
99.0,107.0
114.0,107.5
88.0,106.0
115.0,110.0
107.5,105.0
117.0,110.0
110.0,113.5
108.0,105.0
112.66666666666667,107.0
114.0,116.0
104.5,108.0
115.66666666666667,109.0
112.25,111.75
85.0,104.0
113.0,108.33333333333333
98.0,105.0
104.5,111.5
1.0,92.0
96.5,103.5
113.0,111.0
105.5,111.5
113.0,105.0
106.5,108.25
115.0,106.0
108.0,110.5
97.5,108.0
104.5,103.0
117.0,109.0
92.0,106.5
111.0,106.0
96.5,97.0
117.0,110.0
92.5,106.5
102.0,107.0
113.33333333333333,112.0
94.0,108.0
113.0,110.0
104.0,111.0
111.0,109.33333333333333
118.0,111.0
95.5,109.5
105.0,105.0
112.0,110.5
80.0,97.0
118.5,112.5
111.0,108.0
92.5,107.0
115.0,116.0
112.0,105.0
99.0,99.0
111.5,113.5
104.0,111.0
94.5,108.5
108.5,106.5
116.5,108.5
93.0,107.0
114.0,107.0
108.0,112.0
91.5,106.5
112.5,109.0
107.0,104.0
117.0,109.66666666666667
105.0,111.0
116.5,108.5
114.0,114.5
97.0,97.0
116.5,107.0
114.0,117.0
116.5,109.0
109.5,112.5
114.66666666666667,106.0
109.5,108.75
115.0,109.33333333333333
102.5,111.5
114.0,112.0
108.0,104.0
108.0,111.5
113.0,113.5
56.0,53.0
105.0,112.0
82.0,92.0
106.5,111.0
115.5,111.0
109.66666666666667,111.66666666666667
99.5,110.0
109.5,109.5
100.0,106.0
111.0,112.0
94.5,94.0
90.0,106.0
115.8,107.8
100.0,108.33333333333333
106.0,111.5
114.5,113.5
116.0,108.33333333333333
97.33333333333333,108.66666666666667
113.5,109.75
96.0,105.0
112.0,108.2
115.5,113.5
110.66666666666667,111.0
90.0,105.0
110.5,109.0
111.0,105.0
117.0,105.0
98.5,110.5
111.5,104.5
115.0,114.0
117.5,109.0
107.0,105.0
115.0,105.33333333333333
97.0,109.0
111.0,108.5
116.0,115.0
110.0,107.5
119.0,107.0
114.0,106.5
103.0,108.0
115.0,111.5
117.0,106.5
97.0,111.0
98.5,104.5
116.0,104.0
108.33333333333333,107.0
113.0,107.0
104.0,108.0
115.0,104.0
113.5,112.0
113.0,106.0
117.5,105.5
105.0,106.0
97.0,111.0
119.0,108.0
102.5,108.0
112.0,104.5
110.33333333333333,107.66666666666667
118.0,108.0
103.5,108.5
113.0,103.0
97.0,107.0
113.66666666666667,109.83333333333333
116.0,114.0
106.0,109.0
92.0,106.0
105.0,108.5
115.0,106.0
99.0,107.5
111.0,111.0
62.0,127.0
113.5,109.5
92.0,106.0
113.0,107.0
84.0,79.0
106.0,107.5
95.33333333333333,104.66666666666667
119.0,109.0
105.0,108.66666666666667
98.0,110.0
107.5,108.5
96.0,105.0
108.5,108.0
102.5,111.0
113.0,111.0
115.0,104.5
98.0,98.0
105.5,107.0
95.0,94.0
110.5,102.0
91.0,106.0
107.0,104.0
98.0,104.0
107.0,105.5
117.66666666666667,106.66666666666667
101.0,109.0
117.66666666666667,107.0
93.0,106.5
103.0,107.0
117.0,106.0
92.0,106.0
116.0,114.0
111.0,107.5
107.0,102.0
117.33333333333333,104.66666666666667
105.0,109.5
113.33333333333333,106.66666666666667
117.6,109.8
81.0,88.0
109.5,107.0
118.0,105.5
114.0,102.0
106.0,109.0
115.0,108.5
114.5,106.5
101.0,99.0
110.0,107.5
117.0,103.0
117.0,110.5
103.5,106.5
114.0,109.0
106.5,108.0
118.33333333333333,107.66666666666667
100.5,98.5
114.5,105.5
118.5,106.5
106.0,106.5
116.0,112.0
119.5,106.5
113.66666666666667,105.83333333333333
119.0,107.0
112.66666666666667,109.0
105.5,109.0
115.0,111.66666666666667
107.0,107.5
110.5,103.0
106.0,108.0
105.5,100.5
117.5,109.0
103.5,104.0
52.0,76.0
115.66666666666667,104.66666666666667
103.0,109.0
116.0,105.5
106.0,109.0
107.5,103.5
91.0,97.0
116.66666666666667,108.66666666666667
95.0,93.0
