timestamp,x,y
1.47E+15,23,77
1.47E+15,55,59
1.47E+15,17,62
1.47E+15,17,62
1.47E+15,23,77
1.47E+15,47,55
1.47E+15,74,69
1.47E+15,32,9
1.47E+15,26,77
1.47E+15,55,59
1.47E+15,46,57
1.47E+15,48,58
1.47E+15,19,65
1.47E+15,55,59
1.47E+15,53,55
1.47E+15,51,56
1.47E+15,44,59
1.47E+15,49,56
1.47E+15,55,56
1.47E+15,55,60
1.47E+15,54,56
1.47E+15,56,55
1.47E+15,23,77
1.47E+15,46,56
1.47E+15,51,67
1.47E+15,53,60
1.47E+15,40,64
1.47E+15,55,59
1.47E+15,52,55
1.47E+15,33,70
1.47E+15,26,87
1.47E+15,48,54
1.47E+15,53,57
1.47E+15,52,58
1.47E+15,54,57
1.47E+15,41,62
1.47E+15,41,61
1.47E+15,36,69
1.47E+15,14,69
1.47E+15,53,64
1.47E+15,40,63
1.47E+15,55,56
1.47E+15,52,64
1.47E+15,53,67
1.47E+15,55,60
1.47E+15,49,53
1.47E+15,51,56
1.47E+15,52,61
1.47E+15,53,61
1.47E+15,14,69
1.47E+15,35,69
1.47E+15,49,57
1.47E+15,7,127
1.47E+15,72,46
1.47E+15,52,67
1.47E+15,43,60
1.47E+15,35,69
1.47E+15,48,58
1.47E+15,47,55
1.47E+15,45,57
1.47E+15,51,65
1.47E+15,53,69
1.47E+15,55,57
1.47E+15,40,63
1.47E+15,56,77
1.47E+15,34,69
1.47E+15,52,57
1.47E+15,55,57
1.47E+15,55,68
1.47E+15,50,54
1.47E+15,56,58
1.47E+15,51,59
1.47E+15,48,53
1.47E+15,47,58
1.47E+15,49,55
1.47E+15,53,54
1.47E+15,49,66
1.47E+15,55,58
1.47E+15,56,59
1.47E+15,48,54
1.47E+15,50,59
1.47E+15,56,62
1.47E+15,46,91
1.47E+15,51,67
1.47E+15,50,54
1.47E+15,53,67
1.47E+15,48,56
1.47E+15,53,56
1.47E+15,56,61
1.47E+15,49,57
1.47E+15,53,56
1.47E+15,50,54
1.47E+15,55,56
1.47E+15,50,56
1.47E+15,57,61
1.47E+15,46,56
1.47E+15,44,58
1.47E+15,56,59
1.47E+15,37,65
1.47E+15,48,58
1.47E+15,47,59
1.47E+15,50,66
1.47E+15,45,57
1.47E+15,54,67
1.47E+15,50,54
1.47E+15,56,57
1.47E+15,54,59
1.47E+15,42,60
1.47E+15,52,55
1.47E+15,93,59
1.47E+15,3,58
1.47E+15,50,61
1.47E+15,55,62
1.47E+15,55,61
1.47E+15,43,59
1.47E+15,52,68
1.47E+15,48,53
1.47E+15,47,54
1.47E+15,51,61
1.47E+15,25,85
1.47E+15,51,58
1.47E+15,93,59
1.47E+15,54,55
1.47E+15,46,55
1.47E+15,53,61
1.47E+15,41,62
1.47E+15,53,57
1.47E+15,54,63
1.47E+15,51,69
1.47E+15,51,67
1.47E+15,50,69
1.47E+15,53,60
1.47E+15,49,54
1.47E+15,71,46
1.47E+15,5,68
1.47E+15,45,57
1.47E+15,49,70
1.47E+15,50,67
1.47E+15,93,59
1.47E+15,53,62
1.47E+15,49,55
1.47E+15,44,58
1.47E+15,53,60
1.47E+15,53,69
1.47E+15,55,57
1.47E+15,43,59
1.47E+15,54,57
1.47E+15,38,65
1.47E+15,49,70
1.47E+15,51,55
1.47E+15,93,59
1.47E+15,50,56
1.47E+15,57,59
1.47E+15,53,54
1.47E+15,31,72
1.47E+15,54,60
1.47E+15,25,83
1.47E+15,50,53
1.47E+15,53,60
1.47E+15,48,53
1.47E+15,42,60
1.47E+15,57,60
1.47E+15,48,63
1.47E+15,49,57
1.47E+15,49,55
1.47E+15,40,63
1.47E+15,47,54
1.47E+15,53,57
1.47E+15,51,65
1.47E+15,44,59
1.47E+15,49,70
1.47E+15,52,58
1.47E+15,32,72
1.47E+15,41,61
1.47E+15,52,57
1.47E+15,31,72
1.47E+15,46,55
1.47E+15,53,56
1.47E+15,52,69
1.47E+15,48,56
1.47E+15,46,56
1.47E+15,54,55
1.47E+15,47,57
1.47E+15,49,55
1.47E+15,44,70
1.47E+15,69,48
1.47E+15,52,64
1.47E+15,52,60
1.47E+15,49,70
1.47E+15,48,108
1.47E+15,52,61
1.47E+15,50,66
1.47E+15,54,59
1.47E+15,51,64
1.47E+15,5,123
1.47E+15,51,67
1.47E+15,46,71
1.47E+15,50,56
1.47E+15,48,55
1.47E+15,56,56
1.47E+15,101,33
1.47E+15,49,55
1.47E+15,54,56
1.47E+15,54,58
1.47E+15,51,55
1.47E+15,55,60
1.47E+15,48,56
1.47E+15,51,64
1.47E+15,44,65
1.47E+15,55,58
1.47E+15,39,64
1.47E+15,46,55
1.47E+15,55,55
1.47E+15,45,58
1.47E+15,48,109
1.47E+15,61,63
1.47E+15,52,54
1.47E+15,44,58
1.47E+15,38,64
1.47E+15,51,68
1.47E+15,32,71
1.47E+15,36,66
1.47E+15,56,57
1.47E+15,50,59
1.47E+15,33,72
1.47E+15,43,59
1.47E+15,53,57
1.47E+15,42,71
1.47E+15,54,60
1.47E+15,49,54
1.47E+15,44,71
1.47E+15,48,56
1.47E+15,28,88
1.47E+15,46,55
1.47E+15,55,59
1.47E+15,50,67
1.47E+15,51,55
1.47E+15,51,58
1.47E+15,53,59
1.47E+15,22,78
1.47E+15,49,69
1.47E+15,53,59
1.47E+15,47,54
1.47E+15,54,56
1.47E+15,45,57
1.47E+15,56,61
1.47E+15,53,56
1.47E+15,35,68
1.47E+15,44,82
1.47E+15,51,69
1.47E+15,46,70
1.47E+15,45,56
1.47E+15,57,60
1.47E+15,40,62
1.47E+15,51,57
1.47E+15,55,55
1.47E+15,48,53
1.47E+15,48,57
1.47E+15,52,56
1.47E+15,42,60
1.47E+15,49,56
1.47E+15,55,57
1.47E+15,53,55
1.47E+15,53,59
1.47E+15,54,62
1.47E+15,53,56
1.47E+15,52,54
1.47E+15,47,56
1.47E+15,50,56
1.47E+15,56,55
1.47E+15,53,63
1.47E+15,21,79
1.47E+15,53,60
1.47E+15,52,60
1.47E+15,48,69
1.47E+15,45,70
1.47E+15,43,59
1.47E+15,44,58
1.47E+15,47,57
1.47E+15,48,55
1.47E+15,50,58
1.47E+15,56,56
1.47E+15,75,56
1.47E+15,57,59
1.47E+15,54,67
1.47E+15,49,59
1.47E+15,48,55
1.47E+15,30,73
1.47E+15,46,58
1.47E+15,52,68
1.47E+15,49,56
1.47E+15,47,53
1.47E+15,9,71
1.47E+15,46,55
1.47E+15,49,54
1.47E+15,49,53
1.47E+15,50,69
1.47E+15,17,58
1.47E+15,47,58
1.47E+15,50,65
1.47E+15,46,54
1.47E+15,43,59
1.47E+15,52,57
1.47E+15,52,69
1.47E+15,49,67
1.47E+15,53,58
1.47E+15,56,58
1.47E+15,48,57
1.47E+15,49,54
1.47E+15,54,60
1.47E+15,53,66
1.47E+15,17,58
1.47E+15,54,68
1.47E+15,53,60
1.47E+15,47,70
1.47E+15,5,123
1.47E+15,9,71
1.47E+15,55,55
1.47E+15,48,55
1.47E+15,50,59
1.47E+15,45,56
1.47E+15,51,57
1.47E+15,48,61
1.47E+15,50,55
1.47E+15,53,68
1.47E+15,53,59
1.47E+15,48,55
1.47E+15,40,62
1.47E+15,48,70
1.47E+15,47,56
1.47E+15,54,58
1.47E+15,49,54
1.47E+15,56,58
1.47E+15,35,67
1.47E+15,49,56
1.47E+15,50,65
1.47E+15,52,66
1.47E+15,56,60
1.47E+15,37,66
1.47E+15,53,60
1.47E+15,46,54
1.47E+15,57,59
1.47E+15,55,61
1.47E+15,53,63
1.47E+15,55,59
1.47E+15,44,57
1.47E+15,52,56
1.47E+15,52,57
1.47E+15,51,55
1.47E+15,54,62
1.47E+15,46,58
1.47E+15,49,58
1.47E+15,42,59
1.47E+15,53,56
1.47E+15,56,61
1.47E+15,57,59
1.47E+15,53,55
1.47E+15,33,69
1.47E+15,47,53
1.47E+15,39,63
1.47E+15,47,58
1.47E+15,50,67
1.47E+15,51,64
1.47E+15,24,64
1.47E+15,55,61
1.47E+15,48,55
1.47E+15,52,59
1.47E+15,53,55
1.47E+15,54,55
1.47E+15,50,61
1.47E+15,55,57
1.47E+15,51,60
1.47E+15,51,54
1.47E+15,45,55
1.47E+15,50,55
1.47E+15,52,59
1.47E+15,51,66
1.47E+15,49,69
1.47E+15,28,76
1.47E+15,31,95
1.47E+15,57,59
1.47E+15,36,67
1.47E+15,42,60
1.47E+15,58,60
1.47E+15,49,56
1.47E+15,52,66
1.47E+15,46,69
1.47E+15,48,55
1.47E+15,53,55
1.47E+15,31,95
1.47E+15,53,56
1.47E+15,44,57
1.47E+15,48,54
1.47E+15,56,58
1.47E+15,32,71
1.47E+15,53,55
1.47E+15,48,59
1.47E+15,43,58
1.47E+15,54,55
1.47E+15,46,57
1.47E+15,39,63
1.47E+15,53,66
1.47E+15,46,54
1.47E+15,38,65
1.47E+15,54,57
1.47E+15,42,59
1.47E+15,56,56
1.47E+15,44,58
1.47E+15,49,59
1.47E+15,47,53
1.47E+15,48,55
1.47E+15,54,68
1.47E+15,55,61
1.47E+15,48,57
1.47E+15,46,70
1.47E+15,51,61
1.47E+15,51,67
1.47E+15,57,60
1.47E+15,54,58
1.47E+15,55,58
1.47E+15,51,66
1.47E+15,54,62
1.47E+15,50,58
