timestamp,x,y
1.47E+15,43,108
1.47E+15,73,109
1.47E+15,71,110
1.47E+15,55,110
1.47E+15,65,114
1.47E+15,71,108
1.47E+15,71,110
1.47E+15,70,100
1.47E+15,71,108
1.47E+15,55,110
1.47E+15,71,110
1.47E+15,60,109
1.47E+15,57,109
1.47E+15,55,110
1.47E+15,69,110
1.47E+15,71,108
1.47E+15,73,110
1.47E+15,71,110
1.47E+15,81,109
1.47E+15,71,110
1.47E+15,82,108
1.47E+15,71,108
1.47E+15,56,109
1.47E+15,43,110
1.47E+15,73,109
1.47E+15,56,110
1.47E+15,81,109
1.47E+15,73,109
1.47E+15,71,109
1.47E+15,81,109
1.47E+15,57,108
1.47E+15,62,112
1.47E+15,74,110
1.47E+15,86,97
1.47E+15,57,111
1.47E+15,54,109
1.47E+15,56,109
1.47E+15,57,110
1.47E+15,61,110
1.47E+15,72,109
1.47E+15,73,98
1.47E+15,56,108
1.47E+15,55,109
1.47E+15,60,110
1.47E+15,56,107
1.47E+15,80,109
1.47E+15,64,112
1.47E+15,75,109
1.47E+15,53,107
1.47E+15,71,107
1.47E+15,74,109
1.47E+15,59,108
1.47E+15,81,108
1.47E+15,47,30
1.47E+15,73,107
1.47E+15,73,110
1.47E+15,73,106
1.47E+15,61,111
1.47E+15,71,109
1.47E+15,61,55
1.47E+15,67,118
1.47E+15,54,106
1.47E+15,71,107
1.47E+15,79,98
1.47E+15,68,100
1.47E+15,83,98
1.47E+15,55,107
1.47E+15,56,118
1.47E+15,57,109
1.47E+15,54,108
1.47E+15,62,111
1.47E+15,57,110
1.47E+15,63,112
1.47E+15,61,111
1.47E+15,67,118
1.47E+15,75,93
1.47E+15,71,109
1.47E+15,56,107
1.47E+15,69,102
1.47E+15,60,110
1.47E+15,86,92
1.47E+15,84,106
1.47E+15,74,109
1.47E+15,55,109
1.47E+15,73,110
1.47E+15,61,55
1.47E+15,71,101
1.47E+15,68,109
1.47E+15,70,108
1.47E+15,72,110
1.47E+15,75,99
1.47E+15,56,110
1.47E+15,55,108
1.47E+15,64,111
1.47E+15,67,118
1.47E+15,76,109
1.47E+15,71,107
1.47E+15,57,107
1.47E+15,62,112
1.47E+15,69,119
1.47E+15,55,107
1.47E+15,72,109
1.47E+15,83,107
1.47E+15,72,107
1.47E+15,71,107
1.47E+15,54,107
1.47E+15,53,108
1.47E+15,70,107
1.47E+15,56,107
1.47E+15,54,109
1.47E+15,52,107
1.47E+15,72,102
1.47E+15,86,93
1.47E+15,54,107
1.47E+15,67,102
1.47E+15,83,107
1.47E+15,69,18
1.47E+15,83,105
1.47E+15,58,109
1.47E+15,74,109
1.47E+15,56,109
1.47E+15,72,107
1.47E+15,54,107
1.47E+15,62,110
1.47E+15,72,110
1.47E+15,104,23
1.47E+15,72,100
1.47E+15,75,92
1.47E+15,55,107
1.47E+15,83,107
1.47E+15,54,108
1.47E+15,51,108
1.47E+15,61,110
1.47E+15,60,110
1.47E+15,95,106
1.47E+15,65,112
1.47E+15,71,106
1.47E+15,55,108
1.47E+15,67,109
1.47E+15,59,108
1.47E+15,59,109
1.47E+15,63,112
1.47E+15,61,110
1.47E+15,62,120
1.47E+15,60,109
1.47E+15,70,111
1.47E+15,56,106
1.47E+15,55,107
1.47E+15,60,109
1.47E+15,49,106
1.47E+15,69,108
1.47E+15,66,113
1.47E+15,63,111
1.47E+15,56,108
1.47E+15,53,107
1.47E+15,59,108
1.47E+15,80,109
1.47E+15,54,109
1.47E+15,82,107
1.47E+15,74,108
1.47E+15,54,108
1.47E+15,52,106
1.47E+15,67,112
1.47E+15,69,54
1.47E+15,78,97
1.47E+15,61,107
1.47E+15,59,108
1.47E+15,72,106
1.47E+15,80,109
1.47E+15,86,96
1.47E+15,54,107
1.47E+15,72,98
1.47E+15,52,107
1.47E+15,61,111
1.47E+15,60,109
1.47E+15,71,99
1.47E+15,59,109
1.47E+15,73,109
1.47E+15,56,55
1.47E+15,71,98
1.47E+15,54,106
1.47E+15,66,111
1.47E+15,57,108
1.47E+15,69,111
1.47E+15,71,106
1.47E+15,55,109
1.47E+15,71,99
1.47E+15,63,108
1.47E+15,55,108
1.47E+15,74,96
1.47E+15,74,107
1.47E+15,54,107
1.47E+15,79,109
1.47E+15,70,106
1.47E+15,81,96
1.47E+15,59,108
1.47E+15,68,108
1.47E+15,74,107
1.47E+15,55,109
1.47E+15,52,107
1.47E+15,55,106
1.47E+15,73,107
1.47E+15,42,107
1.47E+15,52,107
1.47E+15,61,110
1.47E+15,73,106
1.47E+15,74,99
1.47E+15,58,108
1.47E+15,81,108
1.47E+15,52,105
1.47E+15,53,106
1.47E+15,42,107
1.47E+15,80,96
1.47E+15,65,107
1.47E+15,70,101
1.47E+15,53,107
1.47E+15,72,109
1.47E+15,52,106
1.47E+15,62,110
1.47E+15,69,107
1.47E+15,55,108
1.47E+15,54,108
1.47E+15,43,75
1.47E+15,68,108
1.47E+15,71,108
1.47E+15,63,110
1.47E+15,54,106
1.47E+15,87,101
1.47E+15,55,107
1.47E+15,74,108
1.47E+15,87,101
1.47E+15,73,99
1.47E+15,60,108
1.47E+15,55,108
1.47E+15,68,108
1.47E+15,64,110
1.47E+15,72,106
1.47E+15,56,107
1.47E+15,60,110
1.47E+15,54,105
1.47E+15,57,107
1.47E+15,52,106
1.47E+15,67,99
1.47E+15,73,108
1.47E+15,72,109
1.47E+15,54,105
1.47E+15,67,108
1.47E+15,69,106
1.47E+15,53,106
1.47E+15,71,109
1.47E+15,60,109
1.47E+15,79,96
1.47E+15,53,105
1.47E+15,61,109
1.47E+15,82,105
1.47E+15,81,105
1.47E+15,58,108
1.47E+15,66,108
1.47E+15,81,105
1.47E+15,79,108
1.47E+15,51,106
1.47E+15,60,108
1.47E+15,82,105
1.47E+15,54,105
1.47E+15,75,108
1.47E+15,73,106
1.47E+15,60,110
1.47E+15,83,106
1.47E+15,51,106
1.47E+15,83,107
1.47E+15,73,108
1.47E+15,72,99
1.47E+15,52,105
1.47E+15,70,105
1.47E+15,53,106
1.47E+15,61,111
1.47E+15,56,109
1.47E+15,65,108
1.47E+15,59,108
1.47E+15,57,108
1.47E+15,71,105
1.47E+15,83,106
1.47E+15,55,107
1.47E+15,50,107
1.47E+15,58,107
1.47E+15,61,110
1.47E+15,82,107
1.47E+15,55,106
1.47E+15,68,107
1.47E+15,75,91
1.47E+15,78,97
1.47E+15,61,107
1.47E+15,71,100
1.47E+15,83,107
1.47E+15,64,112
1.47E+15,54,107
1.47E+15,68,99
1.47E+15,50,106
1.47E+15,67,106
1.47E+15,49,105
1.47E+15,54,104
1.47E+15,49,105
1.47E+15,15,106
1.47E+15,53,105
1.47E+15,50,104
1.47E+15,69,101
1.47E+15,52,106
1.47E+15,70,98
1.47E+15,69,105
1.47E+15,84,105
1.47E+15,81,108
1.47E+15,59,109
1.47E+15,68,107
1.47E+15,72,105
1.47E+15,55,105
1.47E+15,71,105
1.47E+15,56,107
1.47E+15,51,105
1.47E+15,66,109
1.47E+15,49,105
1.47E+15,56,106
1.47E+15,66,110
1.47E+15,81,108
1.47E+15,59,104
1.47E+15,76,114
1.47E+15,65,111
1.47E+15,53,104
1.47E+15,50,105
1.47E+15,58,107
1.47E+15,67,107
1.47E+15,54,106
1.47E+15,17,106
1.47E+15,68,111
1.47E+15,81,107
1.47E+15,52,105
1.47E+15,72,108
1.47E+15,53,104
1.47E+15,83,106
1.47E+15,58,106
1.47E+15,69,100
1.47E+15,17,106
1.47E+15,73,107
1.47E+15,70,105
1.47E+15,53,105
1.47E+15,60,108
1.47E+15,85,100
1.47E+15,18,105
1.47E+15,69,105
1.47E+15,59,107
1.47E+15,81,107
1.47E+15,57,106
1.47E+15,56,107
1.47E+15,69,98
1.47E+15,64,107
1.47E+15,85,100
1.47E+15,54,104
1.47E+15,72,108
1.47E+15,58,108
1.47E+15,81,96
1.47E+15,54,105
1.47E+15,55,107
1.47E+15,53,106
1.47E+15,65,107
1.47E+15,73,95
1.47E+15,49,105
1.47E+15,63,109
1.47E+15,65,107
1.47E+15,52,104
1.47E+15,55,106
1.47E+15,61,108
1.47E+15,71,108
1.47E+15,69,105
1.47E+15,73,107
1.47E+15,54,107
1.47E+15,62,109
1.47E+15,53,104
1.47E+15,52,105
1.47E+15,59,108
1.47E+15,62,112
1.47E+15,70,52
1.47E+15,69,105
1.47E+15,55,105
1.47E+15,69,52
1.47E+15,51,104
1.47E+15,70,57
1.47E+15,52,104
1.47E+15,58,107
1.47E+15,48,104
1.47E+15,80,108
1.47E+15,82,107
1.47E+15,50,104
1.47E+15,58,103
1.47E+15,85,87
1.47E+15,69,58
1.47E+15,71,99
1.47E+15,53,103
1.47E+15,81,108
1.47E+15,73,107
1.47E+15,68,106
1.47E+15,56,105
1.47E+15,64,105
1.47E+15,72,108
1.47E+15,70,104
1.47E+15,74,106
1.47E+15,60,109
1.47E+15,72,96
1.47E+15,74,107
1.47E+15,65,107
1.47E+15,53,105
1.47E+15,69,105
1.47E+15,54,105
1.47E+15,57,106
1.47E+15,67,107
1.47E+15,52,105
1.47E+15,69,100
1.47E+15,69,105
1.47E+15,111,18
1.47E+15,76,100
1.47E+15,56,106
1.47E+15,55,105
1.47E+15,52,103
1.47E+15,52,104
1.47E+15,57,106
1.47E+15,51,102
1.47E+15,75,93
1.47E+15,59,107
1.47E+15,59,109
1.47E+15,69,104
1.47E+15,66,107
1.47E+15,71,108
1.47E+15,71,97
1.47E+15,76,92
1.47E+15,49,104
1.47E+15,60,107
1.47E+15,53,103
1.47E+15,51,104
1.47E+15,50,105
1.47E+15,67,106
1.47E+15,15,106
1.47E+15,53,104
1.47E+15,15,106
1.47E+15,49,104
1.47E+15,54,104
1.47E+15,71,104
1.47E+15,80,108
1.47E+15,72,98
1.47E+15,74,98
1.47E+15,57,105
1.47E+15,14,106
1.47E+15,64,108
1.47E+15,15,105
1.47E+15,52,103
1.47E+15,36,98
1.47E+15,85,99
1.47E+15,57,60
1.47E+15,50,104
1.47E+15,63,106
1.47E+15,50,103
1.47E+15,49,102
1.47E+15,73,109
1.47E+15,69,104
1.47E+15,55,104
1.47E+15,79,97
1.47E+15,49,104
1.47E+15,72,107
1.47E+15,69,104
1.47E+15,9,109
1.47E+15,15,105
1.47E+15,69,109
1.47E+15,50,104
1.47E+15,73,106
1.47E+15,64,107
1.47E+15,76,108
1.47E+15,67,106
1.47E+15,52,103
1.47E+15,73,105
1.47E+15,57,106
1.47E+15,62,106
1.47E+15,56,106
1.47E+15,49,103
1.47E+15,65,103
1.47E+15,68,109
1.47E+15,68,105
1.47E+15,15,105
1.47E+15,73,105
1.47E+15,66,106
1.47E+15,9,109
1.47E+15,56,105
1.47E+15,49,104
1.47E+15,54,107
1.47E+15,76,108
1.47E+15,61,107
1.47E+15,59,106
1.47E+15,65,109
1.47E+15,78,96
1.47E+15,51,105
1.47E+15,50,106
1.47E+15,64,107
1.47E+15,57,106
1.47E+15,70,104
1.47E+15,15,105
1.47E+15,68,105
1.47E+15,110,101
1.47E+15,72,107
1.47E+15,81,107
1.47E+15,64,107
1.47E+15,5,14
1.47E+15,70,104
1.47E+15,52,104
1.47E+15,58,106
1.47E+15,55,104
1.47E+15,50,106
1.47E+15,53,104
1.47E+15,82,108
1.47E+15,79,106
1.47E+15,81,107
1.47E+15,63,107
1.47E+15,54,104
1.47E+15,85,98
1.47E+15,71,104
1.47E+15,76,108
1.47E+15,50,106
1.47E+15,79,106
1.47E+15,58,108
1.47E+15,69,104
1.47E+15,68,105
1.47E+15,56,106
1.47E+15,82,108
1.47E+15,17,106
1.47E+15,68,108
1.47E+15,55,106
1.47E+15,54,104
1.47E+15,53,104
1.47E+15,70,104
1.47E+15,51,104
1.47E+15,67,108
1.47E+15,57,106
1.47E+15,59,108
1.47E+15,17,105
1.47E+15,69,104
1.47E+15,49,104
1.47E+15,56,104
1.47E+15,71,106
1.47E+15,68,105
1.47E+15,78,108
1.47E+15,57,104
1.47E+15,81,107
1.47E+15,73,105
1.47E+15,53,105
1.47E+15,48,103
1.47E+15,71,107
1.47E+15,72,105
1.47E+15,59,107
1.47E+15,53,103
1.47E+15,17,106
1.47E+15,57,106
1.47E+15,68,104
1.47E+15,54,106
