timestamp,x,y
0,22,57
254,21,55
384,23,58
398,22,60
443,24,55
490,25,64
497,26,55
542,22,55
546,22,53
589,26,52
595,27,75
628,23,53
658,21,58
701,24,54
706,23,52
753,23,55
781,23,60
828,43,86
915,21,57
942,29,56
991,26,52
1007,33,56
1014,22,54
1031,23,52
1046,27,53
1067,22,56
1117,27,55
1137,32,55
1260,24,63
1342,31,56
1352,25,52
1367,27,57
1425,34,63
1426,29,53
1453,28,52
1454,27,53
1463,33,55
1534,26,63
1557,23,61
1557,23,53
1565,23,52
1579,31,57
1640,25,62
1701,21,55
1707,25,52
1796,28,52
1816,23,55
1864,50,101
1889,26,53
1898,31,55
1982,25,65
2013,33,55
2013,31,65
2016,22,53
2120,29,53
2139,26,64
2240,28,55
2253,25,54
2262,27,53
2346,37,85
2385,23,52
2387,29,56
2396,24,53
2455,34,61
2484,24,52
2529,21,58
2532,24,62
2579,22,57
2591,28,58
2633,24,54
2645,25,58
2653,25,52
2665,22,54
2723,33,55
2791,27,52
2825,34,64
2838,26,57
2848,25,59
2854,23,52
2868,21,55
2874,22,57
2917,33,56
2935,25,52
2939,33,77
2990,27,66
2995,27,55
3018,32,57
3031,23,54
3064,31,55
3104,25,55
3154,23,52
3169,22,59
3179,22,54
3283,23,57
3300,26,59
3330,23,58
3344,31,57
3380,27,56
3457,22,53
3469,82,98
3474,21,55
3512,30,56
3535,22,60
3541,26,55
3583,21,59
3587,26,53
3604,28,55
3636,23,53
3687,34,60
3719,25,56
3787,28,56
3818,24,58
3842,32,56
3857,30,56
3860,27,52
3873,26,53
3875,24,57
3921,27,54
3929,26,58
3982,29,56
4045,44,54
4072,31,58
4102,34,62
4128,20,57
4190,22,53
4233,25,53
4272,35,91
4319,29,56
4326,24,53
4366,21,56
4386,26,66
4465,30,57
4468,25,65
4532,23,55
4551,30,80
4592,24,55
4632,26,56
4714,22,56
4776,44,54
4813,23,61
4849,26,56
4881,21,55
5024,26,54
5121,23,60
5122,28,55
5202,24,59
5275,21,57
5317,23,56
5337,24,60
5344,33,74
5406,21,59
5481,33,63
5483,31,55
5492,23,54
5507,26,56
5512,25,58
5553,26,53
5558,22,57
5586,25,57
5591,31,59
5622,28,55
5643,23,59
5653,22,54
5688,33,66
5732,22,58
5780,26,56
5816,25,58
5837,31,56
5838,34,62
5869,21,56
5935,24,64
6022,23,57
6043,25,55
6142,29,56
6243,20,58
6258,28,55
6267,30,58
6501,21,57
6523,25,56
6547,22,55
6568,27,55
6590,25,65
6644,24,57
6646,33,65
6685,24,53
6686,33,57
6691,19,58
6722,22,53
6796,25,61
6799,31,58
6931,27,54
7057,22,54
7077,27,74
7093,24,61
7149,21,58
7261,23,62
7289,24,62
7344,29,62
7384,23,55
7400,23,53
7427,23,56
7457,33,58
7463,21,59
7466,22,61
7497,21,53
7497,20,55
7569,34,59
7596,31,55
7706,29,57
7882,19,58
7924,28,57
7935,23,58
7946,40,86
7979,81,97
7997,32,55
8018,27,73
8018,20,59
8086,45,94
8109,19,58
8199,23,54
8217,22,60
8226,22,55
8330,25,53
8348,33,59
8352,30,87
8532,27,75
8618,20,58
8646,21,56
8712,25,54
8872,22,57
8921,33,80
8931,24,57
8970,30,58
8998,23,53
9066,33,76
9148,24,54
9219,26,54
9221,20,55
9229,26,55
9241,24,59
9265,24,55
9291,28,56
9343,23,53
9372,27,56
9414,26,57
9415,23,61
9444,24,53
9444,34,76
9457,22,61
9458,23,56
9800,21,60
9892,23,62
9946,31,58
9988,20,56
10007,25,53
10044,20,58
10061,29,57
10071,37,86
10121,22,54
10177,21,54
10180,24,56
10188,23,55
10270,33,68
10335,29,68
10391,33,58
10485,32,58
10518,31,59
10584,30,58
10587,25,59
10593,26,65
10608,41,87
10632,21,56
10638,32,57
10671,23,57
10674,24,58
10691,20,57
10805,27,55
10939,21,55
10940,22,55
10991,35,91
11011,24,64
11040,33,56
11064,26,54
11088,20,57
11138,33,61
11146,23,53
11194,28,56
11256,21,57
11264,27,57
11271,20,56
11375,25,56
11432,32,55
11438,33,60
11467,21,59
11484,25,53
11627,27,66
11736,33,56
11796,30,56
11868,35,91
11902,22,56
11947,27,55
11962,22,53
11979,29,57
12021,25,54
12095,35,91
12142,21,55
12150,22,58
12190,27,55
12270,28,64
12271,21,54
12271,29,57
12303,26,66
12401,28,56
12437,25,66
12516,30,55
12530,20,59
12533,23,62
12543,22,54
12622,28,56
12651,20,56
12686,26,56
12707,21,60
12718,33,59
12723,25,56
12851,30,57
12958,23,58
12971,25,56
12972,24,55
13101,33,58
13104,23,55
13124,23,57
13166,26,54
13176,27,55
13189,30,56
13227,33,59
13289,25,57
13308,32,56
13316,23,57
13341,33,56
13373,22,61
13419,22,53
13495,29,55
13517,26,55
13549,31,55
13570,21,58
13591,29,57
13649,32,55
13650,23,59
13660,35,90
13661,20,58
13669,28,56
13760,22,56
13770,23,56
13775,19,58
13853,23,63
13872,26,67
13927,33,59
13971,29,55
14085,20,59
14092,26,75
14113,23,60
14134,33,59
14146,22,56
14148,22,55
14154,24,64
14204,29,64
14224,29,61
14335,21,54
14384,21,55
14402,24,55
14421,34,65
14427,24,54
14489,30,55
14641,21,55
14741,33,67
14787,32,67
14831,34,65
14934,23,61
14946,22,53
14957,51,105
15036,26,53
15051,33,67
15056,20,54
15079,22,59
15082,22,60
15088,23,53
15113,25,53
15147,33,56
15158,36,59
15345,50,105
15393,27,55
15418,23,54
15445,20,55
15486,19,58
15636,32,55
15686,22,54
15689,24,53
15701,20,57
15746,25,55
15879,26,61
15970,33,57
15980,26,53
16077,19,56
16110,32,56
16267,24,64
16282,21,57
16296,30,56
16626,21,60
16633,24,65
16672,20,56
16692,21,53
16694,33,67
