timestamp,x,y
15184558,125,52
15184566,113,69
15184568,116,59
15184572,118,57
15184579,117,48
15184583,120,57
15184646,119,63
15184688,114,49
15184690,83,58
15184690,120,56
15184759,113,64
15184832,103,73
15184852,111,51
15184870,77,57
15184878,111,63
15184897,117,57
15184905,110,53
15184923,113,47
15184942,120,46
15184950,109,56
15184961,119,56
15185058,114,50
15185074,122,51
15185089,118,55
15185114,115,50
15185118,99,76
15185151,121,49
15185261,113,51
15185265,111,62
15185300,114,51
15185337,122,54
15185359,122,53
15185364,111,50
15185399,121,55
15185411,117,58
15185446,115,60
15185509,113,48
15185559,117,48
15185582,112,52
15185598,122,48
15185629,53,59
15185675,99,75
15185698,121,54
15185702,121,49
15185720,114,49
15185836,118,55
15185854,118,57
15186038,118,59
15186102,119,48
15186125,122,48
15186146,115,49
15186149,107,66
15186168,106,74
15186175,113,46
15186251,53,59
15186306,114,48
15186344,123,53
15186355,121,49
15186398,83,59
15186407,102,66
15186443,107,66
15186467,119,57
15186475,110,56
15186494,122,50
15186549,53,59
15186573,103,65
15186686,116,59
15186687,115,60
15186735,119,46
15186781,116,51
15186800,118,47
15186808,115,47
15186825,76,58
15186847,119,56
15186866,112,47
15186874,118,57
15186879,117,48
15186928,114,47
15186953,114,61
15186959,112,61
15186981,122,48
15186991,114,62
15187025,116,48
15187074,122,49
15187108,44,48
15187110,118,58
15187114,43,48
15187135,120,55
15187147,122,53
15187172,120,56
15187245,117,58
15187257,117,56
15187260,114,46
15187267,113,63
15187283,106,61
15187291,113,46
15187304,107,63
15187342,120,47
15187409,121,51
15187419,122,50
15187428,119,48
15187441,116,58
15187446,109,55
15187511,115,49
15187534,121,53
15187575,116,49
15187578,75,57
15187654,117,62
15187664,121,54
15187671,117,47
15187673,113,49
15187710,117,48
15187715,106,61
15187757,114,46
15187789,114,47
15187820,113,50
15187829,120,47
15187880,106,58
15187940,112,50
15187962,104,64
15188001,121,50
15188033,119,48
15188068,119,46
15188071,120,55
15188141,122,47
15188166,116,48
15188236,119,56
15188259,110,72
15188266,122,52
15188289,114,47
15188319,121,46
15188339,75,57
15188361,118,46
15188432,114,61
15188500,114,55
15188648,109,73
15188675,113,49
15188692,114,49
15188696,109,54
15188737,115,59
15188740,111,62
15188955,117,47
15188960,116,57
15188978,104,68
15189067,122,49
15189076,112,46
15189080,122,52
15189114,122,47
15189114,121,48
15189217,116,58
15189236,122,50
15189261,111,49
15189278,107,61
15189304,114,48
15189318,120,54
15189321,99,73
15189323,121,54
15189327,113,51
15189355,108,75
15189396,119,55
15189397,110,52
15189566,110,65
15189567,121,53
15189583,118,48
15189600,112,48
15189652,85,82
15189659,110,50
15189681,110,54
15189709,121,49
15189729,118,46
15189737,117,51
15189745,106,60
15189800,117,57
15189828,113,62
15189936,112,50
15189975,115,48
15190052,114,60
15190124,118,47
15190219,121,50
15190221,93,81
15190253,111,64
15190320,87,81
15190412,122,53
15190419,114,49
15190433,120,55
15190442,119,47
15190495,89,82
15190513,121,53
15190613,107,75
15190648,115,59
15190683,114,58
15190694,116,47
15190696,119,45
15190704,117,49
15190771,112,47
15190775,90,82
15190814,109,53
15190836,121,50
15190861,41,80
15190878,120,54
15190932,110,66
15191062,108,74
15191063,120,51
15191122,41,80
15191178,113,47
15191207,117,49
15191274,85,83
15191321,117,46
15191382,121,52
15191443,110,64
15191446,113,46
15191483,120,53
15191594,108,67
15191621,119,55
15191642,118,46
15191654,113,49
15191662,112,45
15191676,101,81
15191705,105,60
15191715,114,60
15191722,104,70
15191803,118,56
15191805,115,57
15191831,120,50
15191890,121,55
15191899,117,57
15192049,113,48
15192073,122,49
15192079,113,61
15192093,113,50
15192100,109,52
15192111,120,46
15192116,110,63
15192128,118,53
15192159,75,59
15192187,116,58
15192200,118,46
15192263,114,48
15192314,120,54
15192315,12,67
15192346,121,47
15192426,117,46
15192428,121,49
15192490,121,48
15192502,117,56
15192513,119,54
15192544,104,65
15192552,12,67
15192586,118,54
15192630,113,47
15192717,103,64
15192752,118,53
15192756,112,46
15192791,111,61
15192853,110,53
15192872,118,55
15192882,110,71
15192883,115,47
15192925,115,58
15193068,111,65
15193074,113,60
15193114,120,50
15193115,75,61
15193118,120,49
15193135,113,46
15193136,109,57
15193181,118,53
15193229,93,84
15193231,118,45
15193240,113,62
15193300,112,59
15193333,119,49
15193351,111,70
15193363,120,53
15193399,75,61
15193437,116,57
15193535,121,46
15193545,121,53
15193574,117,56
15193590,116,47
15193604,117,45
15193609,76,59
15193624,120,47
15193641,121,51
15193647,114,59
15193701,76,68
15193773,116,46
15193873,105,66
15193886,119,45
15193903,113,61
15193911,104,67
15193957,114,48
15194015,115,47
15194018,118,55
15194041,11,66
15194059,97,82
15194125,107,58
15194302,121,52
15194327,112,63
15194399,121,48
15194449,120,53
15194471,83,105
15194483,110,64
15194489,121,49
15194534,106,56
15194558,109,64
15194607,87,63
15194627,117,45
15194632,102,82
15194636,115,58
15194637,109,51
15194646,109,55
15194662,119,51
15194723,119,54
15194744,112,47
15194755,120,48
15194779,97,83
15194811,114,59
15194819,110,66
15194861,116,46
15194911,120,47
15194997,116,48
15195015,117,45
15195038,120,49
15195049,120,46
15195074,120,52
15195104,117,47
15195116,109,53
15195213,120,45
15195214,119,49
15195222,118,55
15195235,113,48
15195246,111,46
15195256,109,56
15195310,119,56
15195317,110,73
15195323,117,55
15195345,116,56
15195347,115,47
15195401,112,48
15195402,116,48
15195488,110,55
15195572,119,54
15195679,110,63
15195699,116,55
15195724,101,66
15195756,114,47
15195786,117,45
15195798,104,61
15195834,121,51
15195836,112,46
15195857,121,46
15195920,119,50
15195949,116,57
15195965,115,47
15196012,120,49
15196039,111,49
15196066,121,50
15196068,110,49
15196071,121,48
15196083,111,48
15196225,92,82
15196232,113,68
15196335,115,46
15196348,109,54
15196447,116,46
15196472,117,45
15196553,106,60
15196591,114,59
15196602,115,49
15196668,94,79
15196721,119,45
15196805,120,46
15196809,119,53
15196832,120,49
15196882,116,45
15196943,109,49
15197081,110,62
15197177,108,57
15197217,119,51
15197222,112,50
15197308,113,48
15197340,120,52
15197350,115,49
15197375,117,55
15197438,115,46
15197522,108,54
15197542,117,45
15197701,112,49
15197703,120,48
15197714,120,45
15197715,116,56
15197726,112,60
15197751,118,54
15197784,118,45
15197816,113,60
15197828,117,45
15197882,119,53
15197886,117,56
15197987,107,57
15197989,114,47
15198002,115,46
15198023,113,57
15198042,115,58
15198042,119,46
15198057,92,84
15198119,115,55
15198139,120,51
15198157,118,53
15198229,120,47
15198257,119,55
15198300,114,50
15198348,113,59
15198363,120,53
15198386,108,56
15198393,109,48
15198537,115,48
15198603,116,45
15198647,118,51
15198718,120,48
15198735,115,57
15198828,120,46
15198831,109,73
15198835,114,58
15198838,114,46
15198860,113,47
15198890,118,54
15198917,115,45
15198991,119,49
15199021,119,47
15199090,119,53
15199106,117,46
15199118,119,52
15199147,117,45
15199232,120,47
15199351,114,49
15199367,110,46
15199382,117,46
15199401,120,51
15199512,118,45
15199558,108,52
15199587,117,45
15199660,101,79
15199661,120,52
15199674,114,49
15199677,109,52
15199678,74,68
15199779,115,51
15199783,117,44
15199790,118,50
15199803,119,49
15199821,73,68
15199825,117,55
15199836,115,45
15199871,108,76
15199905,110,49
15199919,108,50
15199943,106,59
15200079,119,46
15200089,117,54
15200093,114,46
15200109,118,49
15200118,105,58
15200121,111,48
15200173,102,64
15200180,103,79
15200217,112,59
15200222,120,51
15200244,119,47
15200285,118,51
15200304,112,47
15200317,110,49
15200355,111,49
15200406,105,55
15200413,119,48
15200462,119,52
15200463,105,58
15200489,90,77
15200490,111,69
15200491,105,56
15200533,117,45
15200554,120,50
15200576,119,51
15200589,38,123
15200623,103,78
15200634,108,49
15200658,110,61
15200660,115,56
15200774,113,59
15200777,113,49
15200794,119,45
15200915,119,52
15200943,118,53
15200943,61,59
15201027,116,55
15201031,110,68
15201032,110,49
15201067,106,56
15201106,105,58
15201147,113,58
15201217,118,50
15201321,113,49
15201327,117,45
15201344,111,60
15201356,106,60
15201374,38,123
15201443,111,46
15201557,116,44
15201561,104,77
15201616,110,67
15201670,114,45
15201750,61,59
15201760,117,54
15201774,119,45
15201794,118,53
15201798,117,45
15201822,115,47
15201823,119,48
15201857,107,60
15202006,101,65
15202024,118,44
15202037,113,46
15202041,117,45
15202127,120,50
15202155,115,56
15202185,115,44
15202189,61,59
15202193,108,61
15202241,108,48
15202270,109,47
15202284,118,48
15202311,119,46
15202370,111,48
15202626,109,61
15202630,118,52
15202671,116,55
15202677,107,55
15202769,110,61
15202770,110,66
15202772,117,54
15202803,118,47
15202808,112,61
15202812,39,125
15202820,115,56
15202823,127,61
15202852,111,45
15202888,106,58
15203024,120,47
15203067,118,49
15203151,109,46
15203159,119,48
