timestamp,x,y
23387671,113,67
23387707,97,72
23387775,111,69
23387810,101,71
23387849,99,65
23387889,99,69
23387916,104,64
23387924,97,71
23387977,107,64
23388038,97,92
23388069,87,82
23388155,94,80
23388169,102,80
23388212,109,64
23388297,105,63
23388394,110,70
23388398,112,67
23388415,111,64
23388448,72,74
23388495,93,82
23388497,106,62
23388502,101,70
23388510,99,85
23388525,87,82
23388528,109,63
23388572,111,63
23388579,97,72
23388672,98,67
23388692,97,82
23388944,89,85
23388948,103,77
23389023,108,65
23389078,103,74
23389105,108,67
23389180,45,74
23389198,109,63
23389201,106,73
23389236,104,77
23389308,110,63
23389444,112,70
23389451,103,78
23389669,103,65
23389824,109,66
23389871,110,66
23389897,110,69
23390116,101,67
23390122,93,98
23390130,100,66
23390173,103,65
23390204,109,66
23390267,89,84
23390402,85,98
23390418,101,64
23390434,110,67
23390454,108,67
23390537,95,102
23390671,109,63
23390719,92,96
23390760,101,67
23390778,111,68
23390808,99,67
23390861,110,65
23390949,107,64
23390988,91,95
23391068,97,71
23391074,108,67
23391231,109,70
23391332,109,66
23391481,101,67
23391525,112,67
23391625,109,66
23391714,107,65
23391716,101,73
23391723,90,99
23391752,91,97
23391812,90,97
23392068,101,67
23392103,108,71
23392154,111,69
23392171,101,66
23392178,107,72
23392255,108,74
23392292,111,65
23392438,100,64
23392438,102,72
23392530,101,79
23392561,113,66
23392564,102,65
23392566,106,72
23392600,101,72
23392668,79,108
23392711,100,65
23392748,103,83
23392752,106,75
23392772,102,80
23392922,102,78
23392938,109,70
23392982,109,65
23392983,101,66
23393003,103,64
23393022,92,99
23393028,108,72
23393049,111,61
23393186,105,62
23393211,102,79
23393378,111,64
23393438,110,69
23393441,111,60
23393467,110,68
23393490,95,93
23393566,100,68
23393589,110,64
23393657,108,64
23393659,92,98
23393800,111,67
23393828,112,63
23393830,97,68
23393854,82,97
23393973,93,93
23393978,99,68
23394066,88,95
23394095,97,68
23394097,107,60
23394150,88,94
23394212,92,92
23394250,105,73
23394254,112,66
23394537,107,62
23394633,95,95
23394638,94,79
23394790,95,79
23394920,105,69
23394974,96,77
23395003,111,64
23395015,102,83
23395032,109,70
23395041,94,79
23395080,103,77
23395185,107,64
23395198,109,67
23395228,110,63
23395341,95,79
23395501,109,69
23395529,96,76
23395658,110,65
23395688,98,75
23395797,102,91
23395802,106,60
23395838,94,79
23395877,83,96
23395949,107,69
23396041,109,65
23396076,96,96
23396108,108,70
23396120,98,76
23396141,104,62
23396170,95,79
23396299,112,63
23396325,82,96
23396430,111,63
23396430,94,79
23396442,99,75
23396543,104,76
23396577,102,90
23396609,95,79
23396718,107,72
23396722,96,75
23396888,94,79
23396941,97,68
23397055,104,78
23397099,99,75
23397185,106,72
23397270,110,68
23397278,74,73
23397280,112,64
23397306,113,64
23397339,97,96
23397375,99,65
23397480,73,73
23397593,74,73
23397605,112,64
23397613,103,77
23397613,102,78
23397647,99,64
23397711,109,60
23397744,102,64
23397828,110,60
23397861,82,83
23397875,105,72
23397893,101,71
23397948,108,71
23398002,93,80
23398008,107,73
23398060,104,77
23398273,97,89
23398289,65,116
23398320,107,71
23398454,96,94
23398472,98,64
23398481,82,83
23398566,107,64
23398567,110,69
23398725,93,95
23398738,100,66
23398795,108,63
23398893,101,77
23399005,94,90
23399039,106,64
23399105,104,73
23399382,111,74
23399434,99,66
23399493,102,78
23399493,93,96
23399600,108,65
23399617,99,90
23399621,102,77
23399638,99,73
23399638,109,66
23399673,91,97
23399743,84,95
23399825,98,63
23399847,108,66
23399931,96,73
23400086,105,60
23400203,109,68
23400223,94,91
23400232,108,60
23400349,104,61
23400478,108,60
23400530,104,69
23400833,110,63
23401068,73,80
23401100,94,98
23401248,96,72
