timestamp,x,y
36463014,21,107
36463020,41,108
36463025,52,70
36463041,51,70
36463050,21,114
36463054,36,97
36463142,13,101
36463143,21,109
36463177,35,101
36463180,24,104
36463190,39,109
36463190,28,110
36463215,42,107
36463235,27,111
36463235,35,98
36463249,23,111
36463249,11,101
36463265,20,111
36463268,29,107
36463294,26,108
36463346,25,112
36463359,24,114
36463360,22,106
36463361,31,109
36463363,25,103
36463365,28,112
36463378,21,109
36463384,31,101
36463399,13,101
36463410,31,100
36463411,37,110
36463415,27,102
36463416,27,113
36463446,40,108
36463462,30,106
36463469,39,109
36463483,26,107
36463484,31,106
36463528,32,101
36463555,39,108
36463559,40,109
36463595,39,110
36463597,28,102
36463700,28,100
36463702,26,105
36463707,21,107
36463731,28,112
36463761,26,107
36463770,32,99
36463792,25,103
36463805,42,107
36463810,21,109
36463811,39,98
36463817,27,101
36463821,35,103
36463833,30,109
36463852,43,106
36463873,39,110
36463877,36,102
36463878,24,113
36463901,39,108
36463985,25,113
36464000,10,101
36464001,37,103
36464006,23,104
36464043,34,106
36464047,21,108
36464053,21,106
36464054,29,110
36464059,26,102
36464076,35,101
36464088,20,110
36464095,34,103
36464102,32,104
36464105,26,112
36464106,38,109
36464115,24,103
36464116,30,100
36464119,37,109
36464119,35,110
36464130,21,109
36464132,32,110
36464152,29,102
36464152,43,107
36464171,22,105
36464190,28,110
36464206,21,114
36464209,23,113
36464224,31,103
36464232,7,102
36464253,28,100
36464309,23,106
36464322,21,111
36464333,35,110
36464388,35,103
36464392,31,103
36464394,12,102
36464399,24,103
36464412,1,103
36464420,37,109
36464426,35,101
36464454,25,106
36464455,29,100
36464459,29,102
36464463,27,112
36464466,21,109
36464480,33,104
36464492,26,102
36464504,47,99
36464524,21,106
36464527,38,109
36464534,35,96
36464540,33,111
36464548,49,93
36464570,36,96
36464573,37,110
36464578,29,110
36464587,20,110
36464613,31,100
36464632,22,105
36464647,26,112
36464672,25,113
36464674,33,103
36464679,24,103
36464683,26,111
36464686,11,103
36464706,33,105
36464707,1,103
36464707,24,106
36464712,25,112
36464742,36,110
36464789,49,93
36464798,36,97
36464836,12,102
36464838,31,110
36464839,29,100
36464848,29,101
36464849,25,105
36464854,27,100
36464854,37,110
36464861,33,103
36464872,28,100
36464879,39,108
36464895,5,100
36464903,32,105
36464903,21,106
36464912,27,101
36464941,21,111
36464958,30,109
36464971,24,111
36464977,21,109
36464981,26,102
36464998,29,102
36464998,27,112
36465000,30,100
36465004,33,111
36465015,35,102
36465016,31,100
36465024,37,109
36465040,22,105
36465074,20,110
36465123,25,108
36465133,47,100
36465136,50,102
36465138,22,108
36465140,30,110
36465146,23,104
36465157,25,102
36465158,21,108
36465188,24,108
36465188,20,107
36465210,22,113
36465227,24,111
36465235,39,108
36465236,31,100
36465264,33,100
36465285,35,110
36465289,49,97
36465313,24,106
36465325,32,109
36465331,37,109
36465348,31,109
36465368,27,110
36465371,40,108
36465373,29,100
36465392,2,102
36465418,27,111
36465444,29,109
36465451,30,102
36465471,31,108
36465497,24,103
36465505,20,109
36465517,31,103
36465527,21,108
36465531,30,103
36465561,25,102
36465566,32,108
36465600,35,104
36465630,26,109
36465630,26,107
36465649,33,103
36465669,32,109
36465687,23,111
36465688,22,110
36465700,23,103
36465744,27,111
36465749,3,104
36465753,21,113
36465808,35,95
36465813,25,102
36465825,31,110
36465839,43,105
36465853,33,103
36465854,34,110
36465870,41,108
36465874,22,107
36465876,38,109
36465910,24,112
36465914,34,111
36465926,28,109
36465929,21,112
36465947,37,109
36465952,21,107
36465961,23,111
36465979,25,107
36465981,23,113
36465984,31,109
36466009,58,84
36466013,36,103
36466020,26,101
36466049,20,109
36466055,39,108
36466065,22,104
36466104,33,98
36466104,29,100
36466137,16,98
36466155,35,101
36466156,20,111
36466199,32,99
36466202,25,109
36466204,28,101
36466219,21,108
36466221,26,111
36466227,42,107
36466234,28,99
36466249,22,107
36466262,27,100
36466276,27,101
36466296,28,110
36466328,21,105
36466328,23,103
36466345,25,107
36466367,25,105
36466369,21,113
36466377,27,110
36466389,41,95
36466396,41,108
36466408,37,109
36466425,25,102
36466461,31,99
36466461,20,109
36466476,28,102
36466479,24,105
36466486,21,110
36466500,25,111
36466503,27,112
36466509,17,97
36466510,26,101
36466515,31,110
36466519,22,104
36466543,28,99
36466549,28,110
36466573,31,108
36466605,29,109
36466612,23,112
36466621,41,107
36466646,29,104
36466667,32,109
36466671,34,105
36466689,44,105
36466712,32,104
36466719,20,111
36466743,24,102
36466751,16,98
36466764,33,98
36466782,33,109
36466787,23,111
36466796,20,109
36466815,32,100
36466818,21,109
36466851,31,105
36466853,30,99
36466862,21,105
36466872,30,109
36466874,26,101
36466877,33,104
36466878,28,99
36466881,32,102
36466892,29,109
36466898,22,112
36466930,26,104
36466936,37,109
36466982,23,112
36466986,35,96
36466986,22,104
36466999,33,110
36467002,44,105
36467008,25,104
36467011,27,111
36467012,41,107
36467023,13,100
36467050,33,109
36467060,21,112
36467078,23,111
36467093,28,109
36467120,9,105
36467126,21,109
36467134,31,99
36467142,34,102
36467152,21,107
36467159,33,103
36467168,22,109
36467168,26,110
36467177,21,108
36467214,29,102
36467217,26,101
36467218,30,108
36467239,24,108
36467273,8,105
36467282,31,110
36467298,34,110
36467310,28,99
36467318,22,107
36467356,23,113
36467368,41,108
36467370,24,107
36467372,20,106
36467379,35,100
36467382,35,111
36467387,31,103
36467388,29,99
36467401,21,107
36467401,21,113
36467408,37,109
36467408,24,102
36467418,36,109
36467425,27,99
36467429,29,110
36467430,27,112
36467437,30,109
36467441,38,107
36467483,9,105
36467483,23,112
36467489,29,101
36467501,24,111
36467502,25,107
36467519,20,110
36467519,36,94
36467536,20,108
36467537,31,109
36467566,17,97
36467585,35,110
36467586,49,93
36467590,27,109
36467610,37,92
36467616,23,108
36467622,30,105
36467639,22,109
36467673,21,109
36467673,25,101
36467686,27,111
36467688,33,98
36467707,8,105
36467713,29,108
36467736,21,111
36467737,38,107
36467744,36,124
36467755,30,102
36467787,29,103
36467798,30,99
36467804,21,107
36467820,23,110
36467833,21,113
36467841,29,109
36467854,22,104
36467856,23,111
36467857,30,103
36467873,41,108
36467874,17,97
36467877,35,111
36467899,20,110
36467914,22,103
36467915,23,105
36467929,35,110
36467959,24,105
36467971,27,100
36467972,29,105
36467990,31,104
36468000,30,104
36468026,26,101
36468033,21,104
36468066,36,97
36468071,37,109
36468098,41,107
36468118,20,108
36468127,22,106
36468132,30,108
36468134,31,109
36468135,23,103
36468144,29,99
36468148,24,112
36468171,21,106
36468179,28,100
36468185,29,109
36468190,32,103
36468201,33,105
36468220,25,101
36468228,21,110
36468236,30,103
36468249,26,107
36468285,33,109
36468311,38,108
36468324,25,111
36468331,43,106
36468341,23,102
36468344,34,103
36468345,28,111
36468350,41,108
36468360,27,111
36468374,33,106
36468374,24,104
36468401,37,109
36468443,28,106
36468447,21,107
36468470,25,108
36468473,26,106
36468477,23,113
36468479,34,97
36468484,35,103
36468510,27,99
36468518,26,110
36468524,21,104
36468560,27,110
36468572,30,109
36468579,33,109
36468600,24,107
36468617,39,108
36468617,22,106
36468624,24,113
36468643,28,98
36468646,25,110
36468659,22,103
36468662,29,108
36468679,25,106
36468680,35,97
36468698,26,100
36468713,36,91
36468721,24,101
36468732,23,110
36468742,24,111
36468744,20,105
36468747,20,108
36468756,34,108
36468772,23,108
36468781,27,109
36468802,29,109
36468815,21,104
36468816,22,112
36468821,26,103
36468822,27,111
36468822,25,101
36468840,24,102
36468861,21,111
36468863,28,108
36468864,33,98
36468867,28,103
36468909,23,113
36468956,48,108
36468962,37,109
36468991,11,100
36468994,23,111
36469057,32,98
36469090,28,111
36469091,36,109
36469110,28,98
36469117,30,109
36469118,11,101
36469129,24,101
36469142,20,109
36469173,29,109
36469209,35,109
36469210,31,99
36469217,27,103
36469232,5,101
36469263,26,104
36469264,39,108
36469304,23,102
36469313,27,98
36469314,29,99
36469351,24,103
36469363,22,103
36469387,31,101
36469410,28,101
36469430,32,99
36469441,20,107
36469470,26,109
36469495,41,108
36469513,21,108
36469517,24,101
36469583,35,103
36469591,28,98
36469600,31,101
36469633,20,111
36469633,25,106
36469636,24,103
36469653,30,98
36469682,25,110
36469690,26,100
36469702,22,108
36469730,20,107
36469733,24,110
36469738,28,108
36469751,27,98
36469751,11,100
36469790,26,104
36469796,31,107
36469815,31,103
36469826,39,108
36469848,21,103
36469873,29,100
36469896,25,100
36469909,41,107
36469916,31,108
36469919,22,111
36469920,5,102
36469938,20,106
36469944,19,108
36469964,29,107
36469966,34,104
36469978,33,109
36469986,24,101
36469989,32,103
36469992,5,101
36469994,31,107
36470009,35,96
36470013,23,107
36470016,23,109
36470021,22,108
36470034,44,81
36470041,30,108
36470044,33,102
36470057,27,98
36470069,33,110
36470075,30,98
36470078,38,108
36470080,28,111
36470114,22,102
36470118,21,106
36470119,20,104
36470121,23,105
36470127,20,111
36470128,34,102
36470140,27,108
36470146,24,106
36470179,24,104
36470188,23,111
36470205,29,98
36470221,28,109
36470284,21,103
36470286,21,110
36470290,26,104
36470319,31,98
36470319,41,108
36470331,25,100
36470337,20,107
36470337,56,60
36470344,20,110
36470347,6,102
36470353,39,108
36470401,23,101
36470412,26,102
36470419,28,99
36470427,29,109
36470430,33,103
36470431,4,101
36470433,27,109
36470440,27,111
36470454,5,102
36470459,23,109
36470461,22,105
36470464,30,107
36470473,23,104
36470479,42,107
36470480,34,110
36470502,26,107
36470508,21,103
36470513,24,106
36470519,29,116
36470521,39,109
36470542,25,100
36470544,28,111
36470569,26,109
36470570,33,110
36470601,29,108
36470606,31,108
36470610,20,104
36470613,14,98
36470646,41,108
36470647,29,98
36470655,20,108
36470659,35,100
36470682,16,101
36470692,23,111
36470695,21,108
36470696,28,99
36470713,32,107
36470739,42,107
36470742,23,104
36470770,36,108
36470774,21,105
36470774,47,96
36470777,55,60
36470783,29,109
36470784,30,98
36470812,29,116
36470813,33,99
36470843,33,108
36470844,23,107
36470878,21,103
36470884,35,109
36470915,22,104
36470922,4,101
36470924,25,100
36470925,34,97
36470962,25,105
36470966,24,110
36471009,27,98
36471012,22,107
36471025,22,105
36471030,43,106
36471039,20,106
36471051,25,103
36471058,29,108
36471058,33,97
36471064,23,101
36471068,26,106
36471104,27,111
36471146,40,107
36471178,29,98
36471201,30,100
36471218,23,111
36471219,22,102
36471222,27,109
36471234,14,98
36471239,27,108
36471239,16,99
36471288,25,107
36471313,35,99
36471326,29,107
36471346,31,108
36471367,26,99
