timestamp,x,y
49207965,86,107
49208061,98,116
49208106,106,121
49208153,112,120
49208187,110,117
49208192,96,116
49208203,98,105
49208316,96,113
49208396,110,114
49208405,102,116
49208414,97,107
49208446,96,116
49208451,110,119
49208459,102,109
49208480,111,119
49208538,112,116
49208605,102,115
49208620,107,124
49208693,102,118
49208785,107,125
49208787,103,119
49208795,111,117
49208848,107,123
49208880,112,118
49208898,106,117
49208917,100,107
49208939,111,119
49209019,107,124
49209073,96,102
49209122,109,125
49209410,112,119
49209423,108,113
49209471,97,103
49209472,87,108
49209518,113,117
49209632,107,122
49209645,105,120
49209662,110,118
49209719,110,115
49209749,111,119
49209920,99,106
49209964,106,121
49209977,107,119
49210179,107,124
49210210,108,121
49210361,104,120
49210397,107,117
49210507,107,122
49210666,109,125
49210682,108,125
49210721,113,122
49210861,113,118
49210865,105,117
49210893,104,117
49210991,110,119
49211092,98,105
49211203,106,118
49211253,114,119
49211278,102,114
49211336,105,120
49211409,111,117
49211461,108,116
49211513,109,118
49211530,112,118
49211582,96,112
49211631,100,106
49211642,98,116
49211662,104,116
49211683,111,116
49211684,110,118
49211779,102,108
49211811,102,115
49211866,89,106
49211906,106,116
49211976,87,101
49211977,96,112
49211984,103,119
49212002,111,116
49212006,108,124
49212056,108,125
49212148,102,115
49212348,83,100
49212381,100,117
49212387,106,116
49212486,114,118
49212578,111,116
49212627,108,113
49212628,99,117
49212637,100,107
49212801,105,116
49212804,83,100
49212829,106,115
49212843,112,115
49212858,111,117
49212932,36,109
49213050,36,108
49213093,102,108
49213123,78,96
49213144,102,115
49213164,108,124
49213266,100,112
49213293,104,119
49213363,110,117
49213371,105,116
49213459,112,117
49213484,102,116
49213486,113,119
49213597,103,109
49213617,102,115
49213625,109,119
49213715,110,115
49213829,112,117
49213836,114,120
49213843,108,123
49213846,102,119
49213883,99,116
49213917,84,80
49213945,42,124
49213955,113,116
49213972,110,124
49213975,100,106
49214004,111,124
49214069,91,111
49214083,109,115
49214097,114,117
49214146,108,124
49214165,102,115
49214195,104,117
49214207,102,118
49214262,101,107
49214271,102,119
49214293,93,111
49214316,46,125
49214360,111,125
49214420,103,115
49214430,102,115
