class,condition,count
class3,user02_lab,0
class3,user02_lab,11
class3,user02_natural,11
class3,user02_fluorescent,11
class3,user02_led,11
class3,user02_fluorescent_led,11
class4,user02_lab,6
class4,user02_natural,10
class4,user02_fluorescent,9
class4,user02_led,6
class4,user02_fluorescent_led,6
class7,user02_lab,9
class7,user02_natural,5
class7,user02_fluorescent,5
class7,user02_led,6
class7,user02_fluorescent_led,6
class2,user02_lab,11
class2,user02_natural,11
class2,user02_fluorescent,14
class2,user02_led,9
class2,user02_fluorescent_led,10
class6,user02_lab,9
class6,user02_natural,5
class6,user02_fluorescent,9
class6,user02_led,9
class6,user02_fluorescent_led,6
class5,user02_lab,6
class5,user02_natural,8
class5,user02_fluorescent,6
class5,user02_led,6
class5,user02_fluorescent_led,6
