class,condition,count
class2,user02_fluorescent, 14
class2,user02_fluorescent_led, 11
class2,user02_lab, 9
class2,user02_led, 10
class2,user02_natural, 17
class3,user02_fluorescent, 13
class3,user02_fluorescent_led, 13
class3,user02_lab, 10
class3,user02_led, 15
class3,user02_natural, 16
class4,user02_fluorescent, 8
class4,user02_fluorescent_led, 8
class4,user02_lab, 8
class4,user02_led, 6
class4,user02_natural, 10
class5,user02_fluorescent, 9
class5,user02_fluorescent_led, 6
class5,user02_lab, 9
class5,user02_led, 6
class5,user02_natural, 8
class6,user02_fluorescent, 9
class6,user02_fluorescent_led, 6
class6,user02_lab, 9
class6,user02_led, 9
class6,user02_natural, 8
class7,user02_fluorescent, 5
class7,user02_fluorescent_led, 7
class7,user02_lab, 9
class7,user02_led, 6
class7,user02_natural, 8
